process_shortreads v2.62, executed 2023-02-13 13:54:20 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run1_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r1/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3_R1_A10_R1_val_1.fq	1403982	186	0	0	0	1404168
40559-3_R1_A11_R1_val_1.fq	1560880	335	0	0	0	1561215
40559-3_R1_A12_R1_val_1.fq	1227053	159	0	0	0	1227212
40559-3_R1_A1_R1_val_1.fq	998293	220	0	0	0	998513
40559-3_R1_A2_R1_val_1.fq	856316	134	0	0	0	856450
40559-3_R1_A3_R1_val_1.fq	1143878	257	0	0	0	1144135
40559-3_R1_A4_R1_val_1.fq	1102857	140	0	0	0	1102997
40559-3_R1_A5_R1_val_1.fq	1948017	431	0	0	0	1948448
40559-3_R1_A6_R1_val_1.fq	1407230	180	0	0	0	1407410
40559-3_R1_A7_R1_val_1.fq	1472415	280	0	0	0	1472695
40559-3_R1_A8_R1_val_1.fq	2527410	309	0	0	0	2527719
40559-3_R1_A9_R1_val_1.fq	1238435	249	0	0	0	1238684
40559-3_R1_B10_R1_val_1.fq	2253843	321	0	0	0	2254164
40559-3_R1_B11_R1_val_1.fq	1038283	241	0	0	0	1038524
40559-3_R1_B12_R1_val_1.fq	1506893	209	0	0	0	1507102
40559-3_R1_B1_R1_val_1.fq	1115279	266	0	0	0	1115545
40559-3_R1_B2_R1_val_1.fq	749800	99	0	0	0	749899
40559-3_R1_B3_R1_val_1.fq	217185	43	0	0	0	217228
40559-3_R1_B4_R1_val_1.fq	2342927	327	0	0	0	2343254
40559-3_R1_B5_R1_val_1.fq	1595967	368	0	0	0	1596335
40559-3_R1_B6_R1_val_1.fq	2182631	293	0	0	0	2182924
40559-3_R1_B7_R1_val_1.fq	1142618	236	0	0	0	1142854
40559-3_R1_B8_R1_val_1.fq	1743431	243	0	0	0	1743674
40559-3_R1_B9_R1_val_1.fq	1071010	207	0	0	0	1071217
40559-3_R1_C10_R1_val_1.fq	720879	100	0	0	0	720979
40559-3_R1_C11_R1_val_1.fq	1684829	369	0	0	0	1685198
40559-3_R1_C12_R1_val_1.fq	1130548	153	0	0	0	1130701
40559-3_R1_C1_R1_val_1.fq	1488033	364	0	0	0	1488397
40559-3_R1_C2_R1_val_1.fq	815434	105	0	0	0	815539
