process_shortreads v2.62, executed 2023-02-13 17:06:45 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plates1_2_fastq/ -o /home/breitba1/scratch/step03_clean/plates1_2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-1.2_R1_1A10_R1_val_1.fq	3349703	288	0	0	0	3349991
40559-1.2_R1_1A11_R1_val_1.fq	5185970	956	0	0	0	5186926
40559-1.2_R1_1A1_R1_val_1.fq	2583648	455	0	0	0	2584103
40559-1.2_R1_1A2_R1_val_1.fq	2588385	265	0	0	0	2588650
40559-1.2_R1_1A3_R1_val_1.fq	5619668	1000	0	0	0	5620668
40559-1.2_R1_1A4_R1_val_1.fq	3669667	345	0	0	0	3670012
40559-1.2_R1_1A5_R1_val_1.fq	4456699	797	0	0	0	4457496
40559-1.2_R1_1A6_R1_val_1.fq	2270957	216	0	0	0	2271173
40559-1.2_R1_1A7_R1_val_1.fq	3215479	605	0	0	0	3216084
40559-1.2_R1_1A8_R1_val_1.fq	3883738	389	0	0	0	3884127
40559-1.2_R1_1A9_R1_val_1.fq	3327206	611	0	0	0	3327817
40559-1.2_R1_1B10_R1_val_1.fq	3412097	382	0	0	0	3412479
40559-1.2_R1_1B11_R1_val_1.fq	1856394	348	0	0	0	1856742
40559-1.2_R1_1B1_R1_val_1.fq	3309240	619	0	0	0	3309859
40559-1.2_R1_1B2_R1_val_1.fq	7676479	722	0	0	0	7677201
40559-1.2_R1_1B3_R1_val_1.fq	863492	143	0	0	0	863635
40559-1.2_R1_1B4_R1_val_1.fq	3365031	347	0	0	0	3365378
40559-1.2_R1_1B5_R1_val_1.fq	3083016	599	0	0	0	3083615
40559-1.2_R1_1B6_R1_val_1.fq	5155550	488	0	0	0	5156038
40559-1.2_R1_1B7_R1_val_1.fq	2553801	514	0	0	0	2554315
40559-1.2_R1_1B8_R1_val_1.fq	3655579	341	0	0	0	3655920
40559-1.2_R1_1B9_R1_val_1.fq	5026809	884	0	0	0	5027693
40559-1.2_R1_1C10_R1_val_1.fq	2802604	212	0	0	0	2802816
40559-1.2_R1_1C11_R1_val_1.fq	2062329	402	0	0	0	2062731
40559-1.2_R1_1C1_R1_val_1.fq	3272913	594	0	0	0	3273507
40559-1.2_R1_1C2_R1_val_1.fq	3479471	300	0	0	0	3479771
40559-1.2_R1_1C3_R1_val_1.fq	3830279	736	0	0	0	3831015
40559-1.2_R1_1C4_R1_val_1.fq	3003228	262	0	0	0	3003490
40559-1.2_R1_1C5_R1_val_1.fq	1563199	284	0	0	0	1563483
40559-1.2_R1_1C6_R1_val_1.fq	4717787	369	0	0	0	4718156
40559-1.2_R1_1C7_R1_val_1.fq	3303755	665	0	0	0	3304420
40559-1.2_R1_1C8_R1_val_1.fq	5108047	456	0	0	0	5108503
40559-1.2_R1_1C9_R1_val_1.fq	2335119	408	0	0	0	2335527
40559-1.2_R1_1D10_R1_val_1.fq	3586909	314	0	0	0	3587223
40559-1.2_R1_1D11_R1_val_1.fq	2584228	463	0	0	0	2584691
40559-1.2_R1_1D1_R1_val_1.fq	5953287	1056	0	0	0	5954343
40559-1.2_R1_1D2_R1_val_1.fq	2344423	231	0	0	0	2344654
40559-1.2_R1_1D3_R1_val_1.fq	3216158	600	0	0	0	3216758
40559-1.2_R1_1D4_R1_val_1.fq	2810738	241	0	0	0	2810979
40559-1.2_R1_1D5_R1_val_1.fq	2802625	480	0	0	0	2803105
40559-1.2_R1_1D6_R1_val_1.fq	3632238	341	0	0	0	3632579
40559-1.2_R1_1D7_R1_val_1.fq	3799079	697	0	0	0	3799776
40559-1.2_R1_1D8_R1_val_1.fq	5047466	435	0	0	0	5047901
40559-1.2_R1_1D9_R1_val_1.fq	2430574	421	0	0	0	2430995
40559-1.2_R1_1E10_R1_val_1.fq	2873295	258	0	0	0	2873553
40559-1.2_R1_1E11_R1_val_1.fq	2570622	266	0	0	0	2570888
40559-1.2_R1_1E1_R1_val_1.fq	2095646	243	0	0	0	2095889
40559-1.2_R1_1E2_R1_val_1.fq	2535666	234	0	0	0	2535900
40559-1.2_R1_1E3_R1_val_1.fq	2651093	312	0	0	0	2651405
40559-1.2_R1_1E4_R1_val_1.fq	2063423	182	0	0	0	2063605
40559-1.2_R1_1E5_R1_val_1.fq	2873666	299	0	0	0	2873965
40559-1.2_R1_1E6_R1_val_1.fq	2145176	234	0	0	0	2145410
40559-1.2_R1_1E7_R1_val_1.fq	3406662	370	0	0	0	3407032
40559-1.2_R1_1E8_R1_val_1.fq	1819750	181	0	0	0	1819931
40559-1.2_R1_1E9_R1_val_1.fq	1725662	189	0	0	0	1725851
40559-1.2_R1_1F10_R1_val_1.fq	1265705	115	0	0	0	1265820
40559-1.2_R1_1F1_R1_val_1.fq	2925941	294	0	0	0	2926235
40559-1.2_R1_1F2_R1_val_1.fq	4476961	391	0	0	0	4477352
40559-1.2_R1_1F3_R1_val_1.fq	756393	82	0	0	0	756475
40559-1.2_R1_1F4_R1_val_1.fq	3289786	307	0	0	0	3290093
40559-1.2_R1_1F5_R1_val_1.fq	3389841	342	0	0	0	3390183
40559-1.2_R1_1F6_R1_val_1.fq	2770438	232	0	0	0	2770670
40559-1.2_R1_1F7_R1_val_1.fq	3720746	407	0	0	0	3721153
40559-1.2_R1_1F8_R1_val_1.fq	2526908	215	0	0	0	2527123
40559-1.2_R1_1F9_R1_val_1.fq	1977373	209	0	0	0	1977582
40559-1.2_R1_1G10_R1_val_1.fq	2273750	215	0	0	0	2273965
40559-1.2_R1_1G1_R1_val_1.fq	1902699	222	0	0	0	1902921
40559-1.2_R1_1G2_R1_val_1.fq	2829112	248	0	0	0	2829360
40559-1.2_R1_1G4_R1_val_1.fq	1786883	166	0	0	0	1787049
40559-1.2_R1_1G5_R1_val_1.fq	2438093	247	0	0	0	2438340
40559-1.2_R1_1G6_R1_val_1.fq	3641948	314	0	0	0	3642262
40559-1.2_R1_1G7_R1_val_1.fq	2580935	244	0	0	0	2581179
40559-1.2_R1_1G8_R1_val_1.fq	3643450	336	0	0	0	3643786
40559-1.2_R1_1G9_R1_val_1.fq	1974141	189	0	0	0	1974330
40559-1.2_R1_1H10_R1_val_1.fq	1367211	148	0	0	0	1367359
40559-1.2_R1_1H1_R1_val_1.fq	1923863	200	0	0	0	1924063
40559-1.2_R1_1H2_R1_val_1.fq	1705895	164	0	0	0	1706059
40559-1.2_R1_1H3_R1_val_1.fq	4017732	383	0	0	0	4018115
40559-1.2_R1_1H4_R1_val_1.fq	2720652	261	0	0	0	2720913
40559-1.2_R1_1H5_R1_val_1.fq	2301107	217	0	0	0	2301324
40559-1.2_R1_1H6_R1_val_1.fq	2439796	226	0	0	0	2440022
40559-1.2_R1_1H7_R1_val_1.fq	2204562	230	0	0	0	2204792
40559-1.2_R1_1H8_R1_val_1.fq	3084430	302	0	0	0	3084732
40559-1.2_R1_1H9_R1_val_1.fq	2431645	247	0	0	0	2431892
40559-1.2_R1_2A10_R1_val_1.fq	2712461	278	0	0	0	2712739
40559-1.2_R1_2A11_R1_val_1.fq	2042999	329	0	0	0	2043328
40559-1.2_R1_2A1_R1_val_1.fq	2206406	409	0	0	0	2206815
40559-1.2_R1_2A2_R1_val_1.fq	3540561	315	0	0	0	3540876
40559-1.2_R1_2A3_R1_val_1.fq	2928412	554	0	0	0	2928966
40559-1.2_R1_2A4_R1_val_1.fq	2969936	305	0	0	0	2970241
40559-1.2_R1_2A5_R1_val_1.fq	3640217	595	0	0	0	3640812
40559-1.2_R1_2A6_R1_val_1.fq	2106971	185	0	0	0	2107156
40559-1.2_R1_2A7_R1_val_1.fq	1598064	249	0	0	0	1598313
40559-1.2_R1_2A8_R1_val_1.fq	2746418	282	0	0	0	2746700
40559-1.2_R1_2A9_R1_val_1.fq	3114613	556	0	0	0	3115169
40559-1.2_R1_2B10_R1_val_1.fq	4892475	465	0	0	0	4892940
40559-1.2_R1_2B11_R1_val_1.fq	1977222	334	0	0	0	1977556
40559-1.2_R1_2B1_R1_val_1.fq	3706948	682	0	0	0	3707630
40559-1.2_R1_2B2_R1_val_1.fq	2348429	223	0	0	0	2348652
40559-1.2_R1_2B3_R1_val_1.fq	2060593	417	0	0	0	2061010
40559-1.2_R1_2B4_R1_val_1.fq	4402603	450	0	0	0	4403053
40559-1.2_R1_2B5_R1_val_1.fq	1980320	268	0	0	0	1980588
40559-1.2_R1_2B6_R1_val_1.fq	3195605	334	0	0	0	3195939
40559-1.2_R1_2B7_R1_val_1.fq	2089321	318	0	0	0	2089639
40559-1.2_R1_2B8_R1_val_1.fq	4014822	389	0	0	0	4015211
40559-1.2_R1_2B9_R1_val_1.fq	1401271	242	0	0	0	1401513
40559-1.2_R1_2C11_R1_val_1.fq	3518990	572	0	0	0	3519562
40559-1.2_R1_2C1_R1_val_1.fq	1460077	287	0	0	0	1460364
40559-1.2_R1_2C2_R1_val_1.fq	1107296	114	0	0	0	1107410
40559-1.2_R1_2C3_R1_val_1.fq	3149620	554	0	0	0	3150174
40559-1.2_R1_2C4_R1_val_1.fq	2446560	204	0	0	0	2446764
40559-1.2_R1_2C5_R1_val_1.fq	2259434	374	0	0	0	2259808
40559-1.2_R1_2C6_R1_val_1.fq	1937257	179	0	0	0	1937436
40559-1.2_R1_2C7_R1_val_1.fq	4003624	693	0	0	0	4004317
40559-1.2_R1_2C8_R1_val_1.fq	2561045	235	0	0	0	2561280
40559-1.2_R1_2C9_R1_val_1.fq	2685078	465	0	0	0	2685543
40559-1.2_R1_2D10_R1_val_1.fq	2885023	251	0	0	0	2885274
40559-1.2_R1_2D11_R1_val_1.fq	5262631	860	0	0	0	5263491
40559-1.2_R1_2D1_R1_val_1.fq	2746345	541	0	0	0	2746886
40559-1.2_R1_2D2_R1_val_1.fq	2917554	259	0	0	0	2917813
40559-1.2_R1_2D3_R1_val_1.fq	2420121	414	0	0	0	2420535
40559-1.2_R1_2D4_R1_val_1.fq	2997844	247	0	0	0	2998091
40559-1.2_R1_2D5_R1_val_1.fq	5252806	780	0	0	0	5253586
40559-1.2_R1_2D6_R1_val_1.fq	4278074	367	0	0	0	4278441
40559-1.2_R1_2D7_R1_val_1.fq	4192278	693	0	0	0	4192971
40559-1.2_R1_2D8_R1_val_1.fq	3725199	336	0	0	0	3725535
40559-1.2_R1_2D9_R1_val_1.fq	3763600	641	0	0	0	3764241
40559-1.2_R1_2E10_R1_val_1.fq	3963262	316	0	0	0	3963578
40559-1.2_R1_2E11_R1_val_1.fq	3592348	391	0	0	0	3592739
40559-1.2_R1_2E1_R1_val_1.fq	2586676	270	0	0	0	2586946
40559-1.2_R1_2E2_R1_val_1.fq	1846133	147	0	0	0	1846280
40559-1.2_R1_2E3_R1_val_1.fq	3977535	429	0	0	0	3977964
40559-1.2_R1_2E4_R1_val_1.fq	4216287	413	0	0	0	4216700
40559-1.2_R1_2E5_R1_val_1.fq	1034600	125	0	0	0	1034725
40559-1.2_R1_2E6_R1_val_1.fq	3836093	299	0	0	0	3836392
40559-1.2_R1_2E7_R1_val_1.fq	1414588	130	0	0	0	1414718
40559-1.2_R1_2E8_R1_val_1.fq	2120608	177	0	0	0	2120785
40559-1.2_R1_2E9_R1_val_1.fq	2236030	208	0	0	0	2236238
40559-1.2_R1_2F10_R1_val_1.fq	2540703	237	0	0	0	2540940
40559-1.2_R1_2F11_R1_val_1.fq	2396162	203	0	0	0	2396365
40559-1.2_R1_2F1_R1_val_1.fq	1288125	134	0	0	0	1288259
40559-1.2_R1_2F2_R1_val_1.fq	1462993	120	0	0	0	1463113
40559-1.2_R1_2F3_R1_val_1.fq	2232494	251	0	0	0	2232745
40559-1.2_R1_2F4_R1_val_1.fq	2312027	188	0	0	0	2312215
40559-1.2_R1_2F5_R1_val_1.fq	2921660	330	0	0	0	2921990
40559-1.2_R1_2F6_R1_val_1.fq	3023998	254	0	0	0	3024252
40559-1.2_R1_2F7_R1_val_1.fq	1484361	155	0	0	0	1484516
40559-1.2_R1_2F8_R1_val_1.fq	1633000	155	0	0	0	1633155
40559-1.2_R1_2F9_R1_val_1.fq	3666842	342	0	0	0	3667184
40559-1.2_R1_2G10_R1_val_1.fq	2903289	274	0	0	0	2903563
40559-1.2_R1_2G1_R1_val_1.fq	1387778	143	0	0	0	1387921
40559-1.2_R1_2G2_R1_val_1.fq	2103757	171	0	0	0	2103928
40559-1.2_R1_2G3_R1_val_1.fq	2533118	254	0	0	0	2533372
40559-1.2_R1_2G4_R1_val_1.fq	2737711	235	0	0	0	2737946
40559-1.2_R1_2G5_R1_val_1.fq	2860420	275	0	0	0	2860695
40559-1.2_R1_2G6_R1_val_1.fq	4290280	361	0	0	0	4290641
40559-1.2_R1_2G7_R1_val_1.fq	3174423	313	0	0	0	3174736
40559-1.2_R1_2G8_R1_val_1.fq	2676766	235	0	0	0	2677001
40559-1.2_R1_2G9_R1_val_1.fq	4145875	421	0	0	0	4146296
40559-1.2_R1_2H10_R1_val_1.fq	3427475	265	0	0	0	3427740
40559-1.2_R1_2H1_R1_val_1.fq	1746950	165	0	0	0	1747115
40559-1.2_R1_2H2_R1_val_1.fq	2453214	225	0	0	0	2453439
40559-1.2_R1_2H3_R1_val_1.fq	2536945	257	0	0	0	2537202
40559-1.2_R1_2H4_R1_val_1.fq	3448459	281	0	0	0	3448740
40559-1.2_R1_2H5_R1_val_1.fq	2343151	234	0	0	0	2343385
40559-1.2_R1_2H6_R1_val_1.fq	2319302	194	0	0	0	2319496
40559-1.2_R1_2H7_R1_val_1.fq	1586769	148	0	0	0	1586917
40559-1.2_R1_2H8_R1_val_1.fq	2965135	240	0	0	0	2965375
40559-1.2_R1_2H9_R1_val_1.fq	2781181	285	0	0	0	2781466
