process_shortreads v2.62, executed 2023-02-13 17:54:50 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run2_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3A_R1_A10_R1_val_1.fq	5422451	186	0	0	0	5422637
40559-3A_R1_A11_R1_val_1.fq	6036362	1019	0	0	0	6037381
40559-3A_R1_A12_R1_val_1.fq	4737170	159	0	0	0	4737329
40559-3A_R1_A1_R1_val_1.fq	3808565	564	0	0	0	3809129
40559-3A_R1_A2_R1_val_1.fq	3330071	134	0	0	0	3330205
40559-3A_R1_A3_R1_val_1.fq	4360995	743	0	0	0	4361738
40559-3A_R1_A4_R1_val_1.fq	4241360	140	0	0	0	4241500
40559-3A_R1_A5_R1_val_1.fq	7536927	1264	0	0	0	7538191
40559-3A_R1_A6_R1_val_1.fq	5434018	180	0	0	0	5434198
40559-3A_R1_A7_R1_val_1.fq	5603538	863	0	0	0	5604401
40559-3A_R1_A8_R1_val_1.fq	9736774	309	0	0	0	9737083
40559-3A_R1_A9_R1_val_1.fq	4782401	762	0	0	0	4783163
40559-3A_R1_B10_R1_val_1.fq	8801682	321	0	0	0	8802003
40559-3A_R1_B11_R1_val_1.fq	4020126	661	0	0	0	4020787
40559-3A_R1_B12_R1_val_1.fq	5863548	209	0	0	0	5863757
40559-3A_R1_B1_R1_val_1.fq	4358063	769	0	0	0	4358832
40559-3A_R1_B2_R1_val_1.fq	2899857	99	0	0	0	2899956
40559-3A_R1_B3_R1_val_1.fq	792193	94	0	0	0	792287
40559-3A_R1_B4_R1_val_1.fq	9075300	327	0	0	0	9075627
40559-3A_R1_B5_R1_val_1.fq	6255521	1011	0	0	0	6256532
40559-3A_R1_B6_R1_val_1.fq	8440032	293	0	0	0	8440325
40559-3A_R1_B7_R1_val_1.fq	4342775	728	0	0	0	4343503
40559-3A_R1_B8_R1_val_1.fq	6610825	243	0	0	0	6611068
