# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	1	4.03102	1.46205	0.02297	0.94154	0.01592	0.00240	0.07590	0.03289	0.00344	0.92410	0.03289	0.00344	0.07826	0.02403	0.00294	0.92174	0.02403	0.00294	0.09172	0.03442	0.00352	0.02952	0.04686	0.02297
79	1	4.03887	1.22396	0.02089	0.93630	0.01447	0.00227	0.08436	0.03104	0.00333	0.91564	0.03104	0.00333	0.09036	0.02405	0.00293	0.90964	0.02405	0.00293	0.10445	0.03322	0.00344	0.04222	0.05678	0.02089
40	1	3.19412	0.89159	0.01789	0.93547	0.01650	0.00243	0.08970	0.03778	0.00368	0.91030	0.03778	0.00368	0.08775	0.02565	0.00303	0.91225	0.02565	0.00303	0.10570	0.03891	0.00374	0.02907	0.04604	0.01789
47	0	4.03080	1.36200	0.02209	0.93879	0.01567	0.00237	0.07740	0.03112	0.00334	0.92260	0.03112	0.00334	0.08360	0.02463	0.00297	0.91640	0.02463	0.00297	0.09629	0.03349	0.00346	0.03832	0.05294	0.02209
2	1	4.21141	0.97348	0.01863	0.93387	0.01452	0.00228	0.08334	0.02840	0.00318	0.91666	0.02840	0.00318	0.09448	0.02477	0.00297	0.90552	0.02477	0.00297	0.10765	0.03253	0.00341	0.05099	0.06236	0.01863
12	0	4.20207	1.20272	0.02072	0.93825	0.01522	0.00233	0.08564	0.03449	0.00351	0.91436	0.03449	0.00351	0.08546	0.02435	0.00295	0.91454	0.02435	0.00295	0.09840	0.03309	0.00344	0.02551	0.04865	0.02072
13	0	2.44309	0.52707	0.01396	0.94229	0.01731	0.00253	0.08660	0.04688	0.00416	0.91340	0.04688	0.00416	0.07416	0.02495	0.00304	0.92584	0.02495	0.00304	0.09480	0.04291	0.00398	0.01292	0.03623	0.01396
36	1	4.22107	1.04114	0.01928	0.93700	0.01468	0.00229	0.08043	0.02955	0.00325	0.91957	0.02955	0.00325	0.08870	0.02415	0.00294	0.91130	0.02415	0.00294	0.10154	0.03222	0.00339	0.04443	0.05963	0.01928
18	0	3.33070	0.77398	0.01666	0.93810	0.01512	0.00233	0.08937	0.03679	0.00363	0.91063	0.03679	0.00363	0.08591	0.02488	0.00299	0.91409	0.02488	0.00299	0.10146	0.03538	0.00356	0.02204	0.04320	0.01666
30	1	3.24342	0.94109	0.01842	0.93981	0.01617	0.00241	0.08060	0.03686	0.00365	0.91940	0.03686	0.00365	0.08081	0.02487	0.00299	0.91919	0.02487	0.00299	0.09670	0.03701	0.00365	0.02980	0.05009	0.01842
20	0	1.00000	0.00000	0.00000	0.95996	0.01842	0.00293	0.08007	0.07370	0.00586	0.91993	0.07370	0.00586	0.04004	0.01842	0.00293	0.95996	0.01842	0.00293	0.08007	0.07370	0.00586	0.00000	0.00000	0.00000
28	0	1.69071	0.21371	0.00891	0.94164	0.01970	0.00271	0.09108	0.05846	0.00466	0.90892	0.05846	0.00466	0.07054	0.02574	0.00309	0.92946	0.02574	0.00309	0.10112	0.05615	0.00457	0.01506	0.03073	0.00891
19	1	3.36278	0.85030	0.01751	0.94323	0.01545	0.00236	0.08132	0.03863	0.00373	0.91868	0.03863	0.00373	0.07620	0.02349	0.00291	0.92380	0.02349	0.00291	0.09175	0.03591	0.00360	0.01977	0.04163	0.01751
4	0	4.09476	1.17633	0.02047	0.93712	0.01506	0.00232	0.07836	0.02881	0.00320	0.92164	0.02881	0.00320	0.08775	0.02472	0.00297	0.91225	0.02472	0.00297	0.10074	0.03322	0.00344	0.04451	0.05691	0.02047
21	1	3.41991	2.34841	0.03040	0.94458	0.01527	0.00245	0.07299	0.03304	0.00361	0.92701	0.03304	0.00361	0.07417	0.02333	0.00303	0.92583	0.02333	0.00303	0.08602	0.03221	0.00356	0.02443	0.04774	0.03040
17	2	4.10856	1.25308	0.02119	0.94036	0.01513	0.00233	0.08260	0.03422	0.00350	0.91740	0.03422	0.00350	0.08191	0.02442	0.00296	0.91809	0.02442	0.00296	0.09408	0.03282	0.00343	0.02171	0.04514	0.02119
51	0	1.81647	0.14990	0.00744	0.94904	0.01777	0.00256	0.08161	0.05448	0.00449	0.91839	0.05448	0.00449	0.06121	0.02302	0.00292	0.93879	0.02302	0.00292	0.08666	0.04849	0.00423	0.00757	0.02663	0.00744
7	0	3.62176	1.89925	0.02633	0.93848	0.01544	0.00237	0.07002	0.02633	0.00310	0.92998	0.02633	0.00310	0.08460	0.02430	0.00298	0.91540	0.02430	0.00298	0.09832	0.03394	0.00352	0.05650	0.06480	0.02633
56	0	2.30299	0.59200	0.01486	0.94792	0.01540	0.00240	0.07581	0.03885	0.00381	0.92419	0.03885	0.00381	0.06795	0.02261	0.00290	0.93205	0.02261	0.00290	0.08738	0.03966	0.00385	0.01891	0.03208	0.01486
