# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	5.00000	0.00000	0.00000	0.83880	0.03019	0.01284	0.26776	0.08022	0.02094	0.73224	0.08022	0.02094	0.21038	0.03951	0.01469	0.78962	0.03951	0.01469	0.23376	0.04877	0.01633	-0.06964	0.04837	0.00000
79	0	5.00000	0.00000	0.00000	0.81749	0.02343	0.01131	0.27760	0.05614	0.01752	0.72240	0.05614	0.01752	0.25180	0.03059	0.01293	0.74820	0.03059	0.01293	0.27978	0.03776	0.01436	0.00682	0.08524	0.00000
40	0	4.00000	0.00000	0.00000	0.82445	0.02525	0.01175	0.28005	0.06228	0.01845	0.71995	0.06228	0.01845	0.23924	0.03332	0.01349	0.76076	0.03332	0.01349	0.27342	0.04352	0.01542	-0.01630	0.06464	0.00000
47	0	5.00000	0.00000	0.00000	0.82022	0.02173	0.01090	0.30055	0.06983	0.01953	0.69945	0.06983	0.01953	0.25169	0.03388	0.01361	0.74831	0.03388	0.01361	0.27966	0.04183	0.01512	-0.03868	0.08244	0.00000
2	0	5.00000	0.00000	0.00000	0.83443	0.02073	0.01064	0.25902	0.05276	0.01698	0.74098	0.05276	0.01698	0.23508	0.03000	0.01280	0.76492	0.03000	0.01280	0.26120	0.03703	0.01423	0.00343	0.07254	0.00000
12	0	5.00000	0.00000	0.00000	0.83989	0.02362	0.01136	0.28962	0.07280	0.01995	0.71038	0.07280	0.01995	0.22197	0.03407	0.01364	0.77803	0.03407	0.01364	0.24663	0.04206	0.01516	-0.08796	0.04160	0.00000
13	0	3.00000	0.00000	0.00000	0.83880	0.02988	0.01278	0.30055	0.10393	0.02383	0.69945	0.10393	0.02383	0.21099	0.04062	0.01490	0.78901	0.04062	0.01490	0.25319	0.05850	0.01788	-0.08424	0.04558	0.00000
36	0	5.00000	0.00000	0.00000	0.83443	0.02326	0.01127	0.27213	0.06642	0.01905	0.72787	0.06642	0.01905	0.23005	0.03298	0.01343	0.76995	0.03298	0.01343	0.25562	0.04072	0.01492	-0.03299	0.07371	0.00000
18	0	4.00000	0.00000	0.00000	0.79850	0.02537	0.01177	0.33470	0.07520	0.02027	0.66530	0.07520	0.02027	0.27135	0.03433	0.01370	0.72865	0.03433	0.01370	0.31011	0.04484	0.01565	-0.04868	0.07694	0.00000
30	0	4.00000	0.00000	0.00000	0.82923	0.02494	0.01167	0.29508	0.07591	0.02037	0.70492	0.07591	0.02037	0.23361	0.03482	0.01379	0.76639	0.03482	0.01379	0.26698	0.04548	0.01576	-0.05551	0.05615	0.00000
20	0	1.00000	0.00000	0.00000	0.85519	0.05172	0.01681	0.28962	0.20687	0.03362	0.71038	0.20687	0.03362	0.14481	0.05172	0.01681	0.85519	0.05172	0.01681	0.28962	0.20687	0.03362	0.00000	0.00000	0.00000
28	0	2.00000	0.00000	0.00000	0.82377	0.03368	0.01357	0.30874	0.11981	0.02559	0.69126	0.11981	0.02559	0.22336	0.04436	0.01557	0.77664	0.04436	0.01557	0.29781	0.07886	0.02076	-0.01639	0.07391	0.00000
19	0	4.00000	0.00000	0.00000	0.82172	0.02737	0.01223	0.28279	0.06623	0.01902	0.71721	0.06623	0.01902	0.23856	0.03472	0.01377	0.76144	0.03472	0.01377	0.27264	0.04535	0.01574	-0.02477	0.06094	0.00000
4	0	5.00000	0.00000	0.00000	0.82186	0.02403	0.01146	0.24918	0.04966	0.01647	0.75082	0.04966	0.01647	0.24503	0.03434	0.01370	0.75497	0.03434	0.01370	0.27225	0.04239	0.01522	0.04553	0.08121	0.00000
21	0	5.00000	0.00000	0.00000	0.82022	0.02909	0.01261	0.28525	0.07577	0.02035	0.71475	0.07577	0.02035	0.23705	0.03751	0.01432	0.76295	0.03751	0.01432	0.26339	0.04631	0.01591	-0.04326	0.07493	0.00000
17	0	5.00000	0.00000	0.00000	0.82623	0.02579	0.01187	0.28415	0.06958	0.01950	0.71585	0.06958	0.01950	0.23585	0.03635	0.01409	0.76415	0.03635	0.01409	0.26205	0.04487	0.01566	-0.04865	0.06451	0.00000
51	0	2.00000	0.00000	0.00000	0.84563	0.03545	0.01392	0.29235	0.13522	0.02718	0.70765	0.13522	0.02718	0.19057	0.04564	0.01579	0.80943	0.04564	0.01579	0.25410	0.08114	0.02106	-0.05738	0.05026	0.00000
7	0	5.00000	0.00000	0.00000	0.81311	0.02807	0.01238	0.26885	0.06930	0.01946	0.73115	0.06930	0.01946	0.24809	0.03583	0.01399	0.75191	0.03583	0.01399	0.27565	0.04424	0.01555	0.02076	0.11129	0.00000
56	0	3.00000	0.00000	0.00000	0.83333	0.02625	0.01198	0.28233	0.08774	0.02190	0.71767	0.08774	0.02190	0.22556	0.03586	0.01400	0.77444	0.03586	0.01400	0.27067	0.05163	0.01680	-0.01821	0.08768	0.00000
57	0	5.00000	0.00000	0.00000	0.85082	0.02108	0.01073	0.25027	0.06251	0.01848	0.74973	0.06251	0.01848	0.21191	0.03171	0.01316	0.78809	0.03171	0.01316	0.23546	0.03915	0.01463	-0.02648	0.07198	0.00000
27	0	3.00000	0.00000	0.00000	0.83151	0.02747	0.01225	0.30783	0.08970	0.02214	0.69217	0.08970	0.02214	0.22556	0.03850	0.01450	0.77444	0.03850	0.01450	0.27067	0.05544	0.01741	-0.06800	0.03975	0.00000
49	0	5.00000	0.00000	0.00000	0.82678	0.02406	0.01147	0.28525	0.06566	0.01894	0.71475	0.06566	0.01894	0.23858	0.03309	0.01345	0.76142	0.03309	0.01345	0.26509	0.04086	0.01494	-0.04042	0.06814	0.00000
77	0	5.00000	0.00000	0.00000	0.83115	0.02655	0.01205	0.28306	0.06999	0.01956	0.71694	0.06999	0.01956	0.22787	0.03337	0.01350	0.77213	0.03337	0.01350	0.25319	0.04119	0.01500	-0.05856	0.05567	0.00000
39	0	5.00000	0.00000	0.00000	0.81257	0.01946	0.01031	0.29836	0.05401	0.01718	0.70164	0.05401	0.01718	0.26590	0.02902	0.01259	0.73410	0.02902	0.01259	0.29545	0.03582	0.01399	-0.00404	0.08263	0.00000
1	0	5.00000	0.00000	0.00000	0.82077	0.02880	0.01254	0.28415	0.07969	0.02087	0.71585	0.07969	0.02087	0.23694	0.03796	0.01440	0.76306	0.03796	0.01440	0.26327	0.04686	0.01600	-0.03740	0.08782	0.00000
6	0	5.00000	0.00000	0.00000	0.81093	0.02351	0.01133	0.29727	0.06279	0.01852	0.70273	0.06279	0.01852	0.25989	0.02975	0.01275	0.74011	0.02975	0.01275	0.28877	0.03673	0.01417	-0.01645	0.09168	0.00000
72	0	5.00000	0.00000	0.00000	0.81093	0.02570	0.01185	0.30383	0.07378	0.02008	0.69617	0.07378	0.02008	0.25552	0.03454	0.01374	0.74448	0.03454	0.01374	0.28391	0.04264	0.01526	-0.03559	0.09438	0.00000
23	0	1.00000	0.00000	0.00000	0.84426	0.05391	0.01716	0.31148	0.21564	0.03433	0.68852	0.21564	0.03433	0.15574	0.05391	0.01716	0.84426	0.05391	0.01716	0.31148	0.21564	0.03433	0.00000	0.00000	0.00000
62	0	5.00000	0.00000	0.00000	0.83552	0.02285	0.01117	0.26557	0.05634	0.01755	0.73443	0.05634	0.01755	0.22940	0.03235	0.01330	0.77060	0.03235	0.01330	0.25489	0.03994	0.01477	-0.02813	0.05186	0.00000
45	0	1.00000	0.00000	0.00000	0.86339	0.04992	0.01652	0.27322	0.19966	0.03303	0.72678	0.19966	0.03303	0.13661	0.04992	0.01652	0.86339	0.04992	0.01652	0.27322	0.19966	0.03303	0.00000	0.00000	0.00000
16	0	1.00000	0.00000	0.00000	0.85246	0.05229	0.01690	0.29508	0.20915	0.03381	0.70492	0.20915	0.03381	0.14754	0.05229	0.01690	0.85246	0.05229	0.01690	0.29508	0.20915	0.03381	0.00000	0.00000	0.00000
46	0	5.00000	0.00000	0.00000	0.83224	0.02516	0.01173	0.26557	0.06469	0.01880	0.73443	0.06469	0.01880	0.22918	0.03490	0.01381	0.77082	0.03490	0.01381	0.25464	0.04309	0.01534	-0.02046	0.07425	0.00000
61	0	3.00000	0.00000	0.00000	0.83880	0.02622	0.01197	0.29326	0.08630	0.02172	0.70674	0.08630	0.02172	0.21828	0.03707	0.01423	0.78172	0.03707	0.01423	0.26193	0.05338	0.01708	-0.05677	0.04351	0.00000
68	0	5.00000	0.00000	0.00000	0.83169	0.02679	0.01210	0.28852	0.07674	0.02048	0.71148	0.07674	0.02048	0.22667	0.03595	0.01402	0.77333	0.03595	0.01402	0.25185	0.04438	0.01557	-0.07440	0.05131	0.00000
29	0	3.00000	0.00000	0.00000	0.84244	0.02647	0.01203	0.26776	0.07993	0.02090	0.73224	0.07993	0.02090	0.21281	0.03873	0.01455	0.78719	0.03873	0.01455	0.25537	0.05577	0.01746	-0.02368	0.05575	0.00000
