# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	557	2.79126	2.13111	0.00639	0.97336	0.00899	0.00042	0.02697	0.01470	0.00053	0.97303	0.01470	0.00053	0.03388	0.01263	0.00049	0.96612	0.01263	0.00049	0.04313	0.02223	0.00065	0.02893	0.03051	0.00639
79	645	2.66570	1.94047	0.00590	0.96687	0.01079	0.00044	0.03238	0.01744	0.00056	0.96762	0.01744	0.00056	0.04249	0.01529	0.00052	0.95751	0.01529	0.00052	0.05465	0.02763	0.00070	0.04007	0.04085	0.00590
40	469	2.19347	1.19490	0.00483	0.96979	0.01059	0.00045	0.03174	0.01927	0.00061	0.96826	0.01927	0.00061	0.03741	0.01428	0.00053	0.96259	0.01428	0.00053	0.05010	0.02797	0.00074	0.03125	0.03295	0.00483
47	484	2.76844	2.05549	0.00620	0.97085	0.00967	0.00043	0.02810	0.01495	0.00053	0.97190	0.01495	0.00053	0.03727	0.01366	0.00051	0.96273	0.01366	0.00051	0.04732	0.02391	0.00067	0.03476	0.03570	0.00620
2	686	2.87431	2.01290	0.00588	0.96447	0.01130	0.00044	0.03094	0.01571	0.00052	0.96906	0.01571	0.00052	0.04595	0.01629	0.00053	0.95405	0.01629	0.00053	0.05786	0.02795	0.00069	0.04956	0.04909	0.00588
12	730	2.93717	2.13936	0.00623	0.96589	0.01102	0.00045	0.03382	0.01779	0.00057	0.96618	0.01779	0.00057	0.04386	0.01564	0.00053	0.95614	0.01564	0.00053	0.05557	0.02729	0.00070	0.03925	0.04164	0.00623
13	246	1.87738	0.66474	0.00388	0.97536	0.00916	0.00046	0.03066	0.02048	0.00068	0.96934	0.02048	0.00068	0.02975	0.01196	0.00052	0.97025	0.01196	0.00052	0.04148	0.02518	0.00075	0.01737	0.02084	0.00388
36	581	2.84271	2.09971	0.00616	0.96670	0.01085	0.00044	0.03056	0.01588	0.00054	0.96944	0.01588	0.00054	0.04267	0.01541	0.00053	0.95733	0.01541	0.00053	0.05392	0.02658	0.00069	0.04264	0.04302	0.00616
18	386	2.35693	1.28727	0.00503	0.96981	0.01020	0.00045	0.02987	0.01665	0.00057	0.97013	0.01665	0.00057	0.03816	0.01423	0.00053	0.96184	0.01423	0.00053	0.04944	0.02576	0.00071	0.03372	0.03575	0.00503
30	386	2.27234	1.27329	0.00503	0.97262	0.00947	0.00043	0.02972	0.01767	0.00059	0.97028	0.01767	0.00059	0.03433	0.01308	0.00051	0.96567	0.01308	0.00051	0.04517	0.02460	0.00070	0.02661	0.02943	0.00503
20	68	1.00000	0.00000	0.00000	0.98546	0.00706	0.00051	0.02909	0.02824	0.00103	0.97091	0.02824	0.00103	0.01454	0.00706	0.00051	0.98546	0.00706	0.00051	0.02909	0.02824	0.00103	0.00000	0.00000	0.00000
28	275	1.37857	0.23526	0.00228	0.97696	0.00946	0.00046	0.03400	0.02674	0.00077	0.96600	0.02674	0.00077	0.02609	0.01122	0.00050	0.97391	0.01122	0.00050	0.04117	0.03010	0.00081	0.01076	0.01262	0.00228
19	423	2.38416	1.36921	0.00524	0.97220	0.00970	0.00044	0.03021	0.01827	0.00060	0.96979	0.01827	0.00060	0.03465	0.01319	0.00051	0.96535	0.01319	0.00051	0.04565	0.02495	0.00071	0.02647	0.03005	0.00524
4	655	2.72477	1.93891	0.00580	0.96785	0.01064	0.00043	0.03032	0.01651	0.00054	0.96968	0.01651	0.00054	0.04096	0.01493	0.00051	0.95904	0.01493	0.00051	0.05265	0.02697	0.00068	0.04040	0.04064	0.00580
21	253	2.32251	1.88443	0.00694	0.97759	0.00776	0.00045	0.02375	0.01350	0.00059	0.97625	0.01350	0.00059	0.02830	0.01084	0.00053	0.97170	0.01084	0.00053	0.03621	0.01920	0.00070	0.02189	0.02471	0.00694
17	478	2.77697	2.14099	0.00645	0.97267	0.00904	0.00042	0.02733	0.01446	0.00053	0.97267	0.01446	0.00053	0.03508	0.01295	0.00050	0.96492	0.01295	0.00050	0.04402	0.02195	0.00065	0.02995	0.03254	0.00645
51	339	1.56434	0.24587	0.00232	0.97641	0.00937	0.00045	0.03389	0.02528	0.00074	0.96611	0.02528	0.00074	0.02732	0.01151	0.00050	0.97268	0.01151	0.00050	0.04102	0.02778	0.00078	0.01070	0.01447	0.00232
7	356	2.38314	1.86048	0.00633	0.97392	0.00888	0.00044	0.02394	0.01317	0.00053	0.97606	0.01317	0.00053	0.03305	0.01236	0.00052	0.96695	0.01236	0.00052	0.04244	0.02219	0.00069	0.03310	0.03385	0.00633
56	225	1.74988	0.57751	0.00368	0.97704	0.00876	0.00045	0.02857	0.01948	0.00068	0.97143	0.01948	0.00068	0.02734	0.01116	0.00051	0.97266	0.01116	0.00051	0.03877	0.02440	0.00076	0.01614	0.01841	0.00368
57	783	2.81289	1.89670	0.00574	0.96453	0.01130	0.00044	0.03282	0.01684	0.00054	0.96718	0.01684	0.00054	0.04583	0.01624	0.00053	0.95417	0.01624	0.00053	0.05790	0.02803	0.00070	0.04599	0.04650	0.00574
27	453	1.94120	0.66583	0.00365	0.97208	0.01018	0.00045	0.03480	0.02281	0.00068	0.96520	0.02281	0.00068	0.03393	0.01340	0.00052	0.96607	0.01340	0.00052	0.04731	0.02836	0.00075	0.02012	0.02342	0.00365
49	550	2.89166	2.17590	0.00624	0.97022	0.00976	0.00042	0.02871	0.01506	0.00052	0.97129	0.01506	0.00052	0.03825	0.01390	0.00050	0.96175	0.01390	0.00050	0.04811	0.02376	0.00065	0.03527	0.03715	0.00624
77	398	2.50394	1.83059	0.00609	0.97413	0.00890	0.00042	0.02725	0.01570	0.00056	0.97275	0.01570	0.00056	0.03260	0.01235	0.00050	0.96740	0.01235	0.00050	0.04205	0.02229	0.00067	0.02602	0.02909	0.00609
39	467	2.68930	2.02443	0.00623	0.97001	0.00979	0.00043	0.02858	0.01479	0.00053	0.97142	0.01479	0.00053	0.03861	0.01400	0.00052	0.96139	0.01400	0.00052	0.04876	0.02419	0.00068	0.03674	0.03744	0.00623
1	528	2.39273	1.71374	0.00566	0.97163	0.00988	0.00043	0.02957	0.01781	0.00058	0.97043	0.01781	0.00058	0.03537	0.01349	0.00050	0.96463	0.01349	0.00050	0.04679	0.02581	0.00069	0.03010	0.03196	0.00566
6	576	2.66349	1.95325	0.00586	0.96835	0.01047	0.00043	0.03069	0.01703	0.00055	0.96931	0.01703	0.00055	0.04034	0.01473	0.00051	0.95966	0.01473	0.00051	0.05213	0.02700	0.00069	0.03893	0.03926	0.00586
72	457	2.69217	2.07594	0.00637	0.97188	0.00931	0.00043	0.02759	0.01496	0.00054	0.97241	0.01496	0.00054	0.03604	0.01324	0.00051	0.96396	0.01324	0.00051	0.04583	0.02331	0.00067	0.03352	0.03477	0.00637
23	103	1.00000	0.00000	0.00000	0.98384	0.00782	0.00052	0.03232	0.03127	0.00104	0.96768	0.03127	0.00104	0.01616	0.00782	0.00052	0.98384	0.00782	0.00052	0.03232	0.03127	0.00104	0.00000	0.00000	0.00000
62	475	2.56492	1.98242	0.00623	0.97003	0.01002	0.00044	0.03017	0.01680	0.00057	0.96983	0.01680	0.00057	0.03812	0.01407	0.00052	0.96188	0.01407	0.00052	0.04917	0.02555	0.00071	0.03368	0.03554	0.00623
45	96	1.00000	0.00000	0.00000	0.98375	0.00786	0.00050	0.03249	0.03144	0.00101	0.96751	0.03144	0.00101	0.01625	0.00786	0.00050	0.98375	0.00786	0.00050	0.03249	0.03144	0.00101	0.00000	0.00000	0.00000
16	99	1.00000	0.00000	0.00000	0.98541	0.00708	0.00063	0.02917	0.02832	0.00127	0.97083	0.02832	0.00127	0.01459	0.00708	0.00063	0.98541	0.00708	0.00063	0.02917	0.02832	0.00127	0.00000	0.00000	0.00000
46	426	2.43023	1.84583	0.00601	0.97344	0.00920	0.00042	0.02717	0.01597	0.00056	0.97283	0.01597	0.00056	0.03332	0.01269	0.00050	0.96668	0.01269	0.00050	0.04354	0.02375	0.00068	0.02901	0.03041	0.00601
61	437	2.02586	0.70500	0.00369	0.97211	0.01022	0.00044	0.03303	0.02180	0.00065	0.96697	0.02180	0.00065	0.03379	0.01338	0.00051	0.96621	0.01338	0.00051	0.04667	0.02766	0.00073	0.02211	0.02593	0.00369
68	420	2.55369	2.00528	0.00631	0.97484	0.00850	0.00041	0.02573	0.01458	0.00054	0.97427	0.01458	0.00054	0.03206	0.01201	0.00049	0.96794	0.01201	0.00049	0.04119	0.02164	0.00066	0.02796	0.02994	0.00631
29	210	1.77697	0.58992	0.00370	0.97568	0.00920	0.00046	0.02928	0.01961	0.00067	0.97072	0.01961	0.00067	0.02905	0.01179	0.00052	0.97095	0.01179	0.00052	0.04083	0.02518	0.00076	0.01826	0.02068	0.00370
14	596	2.67745	2.04944	0.00623	0.96824	0.01041	0.00044	0.02826	0.01440	0.00052	0.97174	0.01440	0.00052	0.04068	0.01472	0.00053	0.95932	0.01472	0.00053	0.05136	0.02537	0.00069	0.04176	0.04166	0.00623
42	282	1.57712	0.24406	0.00227	0.97784	0.00888	0.00043	0.03149	0.02366	0.00071	0.96851	0.02366	0.00071	0.02557	0.01085	0.00048	0.97443	0.01085	0.00048	0.03858	0.02644	0.00075	0.01064	0.01381	0.00227
3	301	2.05965	1.11491	0.00488	0.97720	0.00831	0.00042	0.02720	0.01766	0.00061	0.97280	0.01766	0.00061	0.02795	0.01105	0.00049	0.97205	0.01105	0.00049	0.03844	0.02301	0.00070	0.01864	0.02100	0.00488
31	474	2.63196	1.93917	0.00602	0.96994	0.00984	0.00043	0.02841	0.01484	0.00053	0.97159	0.01484	0.00053	0.03863	0.01394	0.00051	0.96137	0.01394	0.00051	0.04925	0.02475	0.00068	0.03786	0.03788	0.00602
15	293	2.02225	1.12408	0.00498	0.97359	0.00951	0.00046	0.02838	0.01780	0.00063	0.97162	0.01780	0.00063	0.03240	0.01263	0.00053	0.96760	0.01263	0.00053	0.04375	0.02527	0.00075	0.02594	0.02771	0.00498
9	194	1.44875	0.24738	0.00245	0.97847	0.00867	0.00046	0.02978	0.02236	0.00074	0.97022	0.02236	0.00074	0.02480	0.01056	0.00051	0.97520	0.01056	0.00051	0.03764	0.02606	0.00079	0.01178	0.01390	0.00245
11	502	2.18928	1.19311	0.00479	0.97256	0.00978	0.00043	0.02767	0.01657	0.00056	0.97233	0.01657	0.00056	0.03381	0.01310	0.00050	0.96619	0.01310	0.00050	0.04496	0.02507	0.00069	0.02912	0.03066	0.00479
64	355	1.90813	0.68717	0.00377	0.97508	0.00899	0.00043	0.03005	0.01942	0.00063	0.96995	0.01942	0.00063	0.03062	0.01207	0.00050	0.96938	0.01207	0.00050	0.04213	0.02481	0.00072	0.01967	0.02285	0.00377
