# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	556	2.79167	2.13129	0.00639	0.97334	0.00900	0.00042	0.02697	0.01470	0.00053	0.97303	0.01470	0.00053	0.03390	0.01264	0.00049	0.96610	0.01264	0.00049	0.04315	0.02224	0.00065	0.02897	0.03056	0.00639
79	647	2.66596	1.94069	0.00590	0.96687	0.01079	0.00044	0.03241	0.01747	0.00056	0.96759	0.01747	0.00056	0.04249	0.01529	0.00052	0.95751	0.01529	0.00052	0.05467	0.02764	0.00070	0.04004	0.04082	0.00590
40	468	2.19392	1.19509	0.00483	0.96978	0.01059	0.00045	0.03174	0.01927	0.00061	0.96826	0.01927	0.00061	0.03743	0.01429	0.00053	0.96257	0.01429	0.00053	0.05011	0.02797	0.00074	0.03127	0.03297	0.00483
47	483	2.76881	2.05541	0.00620	0.97083	0.00968	0.00043	0.02811	0.01496	0.00053	0.97189	0.01496	0.00053	0.03729	0.01367	0.00051	0.96271	0.01367	0.00051	0.04734	0.02393	0.00067	0.03479	0.03573	0.00620
2	686	2.87452	2.01374	0.00588	0.96449	0.01129	0.00044	0.03094	0.01571	0.00052	0.96906	0.01571	0.00052	0.04593	0.01628	0.00053	0.95407	0.01628	0.00053	0.05784	0.02793	0.00069	0.04953	0.04906	0.00588
12	727	2.93723	2.13970	0.00623	0.96591	0.01101	0.00045	0.03385	0.01781	0.00057	0.96615	0.01781	0.00057	0.04383	0.01563	0.00053	0.95617	0.01563	0.00053	0.05555	0.02729	0.00070	0.03915	0.04155	0.00623
13	246	1.87765	0.66478	0.00388	0.97538	0.00915	0.00045	0.03067	0.02049	0.00068	0.96933	0.02049	0.00068	0.02974	0.01196	0.00052	0.97026	0.01196	0.00052	0.04146	0.02517	0.00075	0.01733	0.02080	0.00388
36	584	2.84302	2.10007	0.00616	0.96672	0.01084	0.00044	0.03057	0.01588	0.00054	0.96943	0.01588	0.00054	0.04267	0.01541	0.00053	0.95733	0.01541	0.00053	0.05390	0.02657	0.00069	0.04262	0.04300	0.00616
18	387	2.35715	1.28706	0.00503	0.96980	0.01020	0.00045	0.02988	0.01665	0.00057	0.97012	0.01665	0.00057	0.03818	0.01424	0.00053	0.96182	0.01424	0.00053	0.04947	0.02578	0.00071	0.03376	0.03578	0.00503
30	386	2.27244	1.27355	0.00503	0.97261	0.00947	0.00043	0.02970	0.01766	0.00059	0.97030	0.01766	0.00059	0.03433	0.01309	0.00051	0.96567	0.01309	0.00051	0.04517	0.02461	0.00070	0.02665	0.02945	0.00503
20	68	1.00000	0.00000	0.00000	0.98543	0.00707	0.00051	0.02913	0.02829	0.00103	0.97087	0.02829	0.00103	0.01457	0.00707	0.00051	0.98543	0.00707	0.00051	0.02913	0.02829	0.00103	0.00000	0.00000	0.00000
28	274	1.37863	0.23527	0.00228	0.97695	0.00947	0.00046	0.03403	0.02677	0.00077	0.96597	0.02677	0.00077	0.02610	0.01123	0.00050	0.97390	0.01123	0.00050	0.04120	0.03013	0.00081	0.01076	0.01263	0.00228
