# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	472	2.31911	1.31245	0.00515	0.97415	0.00910	0.00043	0.02774	0.01651	0.00058	0.97226	0.01651	0.00058	0.03216	0.01239	0.00050	0.96784	0.01239	0.00050	0.04243	0.02342	0.00069	0.02491	0.02729	0.00515
79	651	2.66776	1.94089	0.00591	0.96674	0.01082	0.00044	0.03247	0.01745	0.00056	0.96753	0.01745	0.00056	0.04267	0.01534	0.00053	0.95733	0.01534	0.00053	0.05486	0.02769	0.00071	0.04025	0.04100	0.00591
40	479	2.19548	1.19557	0.00484	0.96964	0.01065	0.00046	0.03190	0.01938	0.00062	0.96810	0.01938	0.00062	0.03759	0.01435	0.00053	0.96241	0.01435	0.00053	0.05036	0.02812	0.00074	0.03140	0.03311	0.00484
47	488	2.77088	2.05595	0.00621	0.97072	0.00971	0.00043	0.02825	0.01503	0.00053	0.97175	0.01503	0.00053	0.03744	0.01372	0.00051	0.96256	0.01372	0.00051	0.04753	0.02400	0.00067	0.03488	0.03584	0.00621
2	699	2.87663	2.01340	0.00589	0.96437	0.01133	0.00044	0.03105	0.01576	0.00052	0.96895	0.01576	0.00052	0.04607	0.01632	0.00053	0.95393	0.01632	0.00053	0.05802	0.02802	0.00069	0.04965	0.04918	0.00589
12	729	2.93940	2.13807	0.00625	0.96574	0.01106	0.00045	0.03397	0.01787	0.00057	0.96603	0.01787	0.00057	0.04406	0.01570	0.00054	0.95594	0.01570	0.00054	0.05583	0.02741	0.00071	0.03946	0.04186	0.00625
13	258	1.87839	0.66487	0.00389	0.97524	0.00920	0.00046	0.03082	0.02058	0.00068	0.96918	0.02058	0.00068	0.02990	0.01202	0.00052	0.97010	0.01202	0.00052	0.04168	0.02529	0.00076	0.01744	0.02093	0.00389
18	390	2.35761	1.28759	0.00504	0.96974	0.01021	0.00045	0.02992	0.01665	0.00057	0.97008	0.01665	0.00057	0.03828	0.01426	0.00053	0.96172	0.01426	0.00053	0.04957	0.02579	0.00071	0.03387	0.03591	0.00504
30	395	2.27406	1.27430	0.00504	0.97248	0.00951	0.00044	0.02985	0.01775	0.00060	0.97015	0.01775	0.00060	0.03449	0.01314	0.00051	0.96551	0.01314	0.00051	0.04539	0.02472	0.00070	0.02677	0.02958	0.00504
20	69	1.00000	0.00000	0.00000	0.98540	0.00709	0.00052	0.02920	0.02835	0.00103	0.97080	0.02835	0.00103	0.01460	0.00709	0.00052	0.98540	0.00709	0.00052	0.02920	0.02835	0.00103	0.00000	0.00000	0.00000
28	278	1.37886	0.23533	0.00228	0.97683	0.00951	0.00046	0.03424	0.02694	0.00077	0.96576	0.02694	0.00077	0.02623	0.01128	0.00050	0.97377	0.01128	0.00050	0.04141	0.03028	0.00082	0.01075	0.01264	0.00228
19	428	2.38515	1.36956	0.00525	0.97205	0.00976	0.00044	0.03037	0.01839	0.00061	0.96963	0.01839	0.00061	0.03482	0.01326	0.00052	0.96518	0.01326	0.00052	0.04590	0.02510	0.00071	0.02661	0.03021	0.00525
4	614	2.41704	1.25661	0.00472	0.96889	0.01061	0.00043	0.03144	0.01807	0.00057	0.96856	0.01807	0.00057	0.03905	0.01464	0.00051	0.96095	0.01464	0.00051	0.05135	0.02753	0.00070	0.03452	0.03558	0.00472
21	255	2.32448	1.88731	0.00696	0.97750	0.00779	0.00045	0.02380	0.01353	0.00059	0.97620	0.01353	0.00059	0.02840	0.01088	0.00053	0.97160	0.01088	0.00053	0.03634	0.01926	0.00070	0.02201	0.02486	0.00696
17	365	2.33667	1.31683	0.00525	0.97475	0.00868	0.00043	0.02741	0.01571	0.00057	0.97259	0.01571	0.00057	0.03186	0.01214	0.00050	0.96814	0.01214	0.00050	0.04127	0.02196	0.00068	0.02387	0.02674	0.00525
