# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	3.22027	0.99496	0.01891	0.94237	0.01635	0.00242	0.07848	0.03789	0.00369	0.92152	0.03789	0.00369	0.07592	0.02413	0.00294	0.92408	0.02413	0.00294	0.09240	0.03774	0.00368	0.02427	0.04472	0.01891
79	2	4.03145	1.23938	0.02093	0.93655	0.01445	0.00226	0.08360	0.03063	0.00329	0.91640	0.03063	0.00329	0.08997	0.02398	0.00291	0.91003	0.02398	0.00291	0.10397	0.03305	0.00342	0.04238	0.05687	0.02093
40	1	3.18741	0.90225	0.01791	0.93609	0.01640	0.00241	0.08905	0.03784	0.00367	0.91095	0.03784	0.00367	0.08686	0.02551	0.00301	0.91314	0.02551	0.00301	0.10473	0.03878	0.00371	0.02847	0.04568	0.01791
47	1	4.02627	1.36579	0.02202	0.93937	0.01564	0.00236	0.07610	0.03090	0.00331	0.92390	0.03090	0.00331	0.08264	0.02453	0.00295	0.91736	0.02453	0.00295	0.09534	0.03357	0.00345	0.03892	0.05311	0.02202
2	2	4.20657	0.97992	0.01860	0.93473	0.01434	0.00225	0.08228	0.02813	0.00315	0.91772	0.02813	0.00315	0.09335	0.02458	0.00295	0.90665	0.02458	0.00295	0.10630	0.03222	0.00337	0.05056	0.06183	0.01860
12	0	4.19802	1.20733	0.02066	0.93880	0.01510	0.00231	0.08517	0.03439	0.00349	0.91483	0.03439	0.00349	0.08471	0.02420	0.00293	0.91529	0.02420	0.00293	0.09761	0.03292	0.00341	0.02478	0.04785	0.02066
13	3	2.44034	0.52921	0.01392	0.94232	0.01731	0.00252	0.08657	0.04689	0.00414	0.91343	0.04689	0.00414	0.07411	0.02491	0.00302	0.92589	0.02491	0.00302	0.09494	0.04310	0.00397	0.01310	0.03615	0.01392
18	0	3.32398	0.78555	0.01671	0.93817	0.01515	0.00232	0.08908	0.03683	0.00362	0.91092	0.03683	0.00362	0.08573	0.02485	0.00297	0.91427	0.02485	0.00297	0.10140	0.03555	0.00355	0.02254	0.04347	0.01671
30	1	3.24259	0.94077	0.01833	0.94017	0.01606	0.00240	0.08053	0.03707	0.00364	0.91947	0.03707	0.00364	0.08038	0.02478	0.00298	0.91962	0.02478	0.00298	0.09625	0.03700	0.00364	0.02934	0.04969	0.01833
20	0	1.00000	0.00000	0.00000	0.96074	0.01810	0.00289	0.07852	0.07239	0.00578	0.92148	0.07239	0.00578	0.03926	0.01810	0.00289	0.96074	0.01810	0.00289	0.07852	0.07239	0.00578	0.00000	0.00000	0.00000
28	0	1.68801	0.21473	0.00889	0.94187	0.01976	0.00270	0.09088	0.05891	0.00466	0.90912	0.05891	0.00466	0.07000	0.02566	0.00307	0.93000	0.02566	0.00307	0.10069	0.05646	0.00456	0.01472	0.03052	0.00889
19	0	3.35906	0.85423	0.01747	0.94383	0.01533	0.00234	0.08024	0.03813	0.00369	0.91976	0.03813	0.00369	0.07538	0.02330	0.00289	0.92462	0.02330	0.00289	0.09078	0.03563	0.00357	0.01985	0.04145	0.01747
4	0	3.40113	0.69820	0.01572	0.93857	0.01618	0.00239	0.07918	0.03310	0.00342	0.92082	0.03310	0.00342	0.08297	0.02496	0.00297	0.91703	0.02496	0.00297	0.09836	0.03611	0.00357	0.03572	0.05024	0.01572
21	1	3.41859	2.35675	0.03034	0.94504	0.01517	0.00243	0.07255	0.03284	0.00358	0.92745	0.03284	0.00358	0.07356	0.02317	0.00301	0.92644	0.02317	0.00301	0.08531	0.03199	0.00353	0.02385	0.04700	0.03034
17	0	3.28464	0.84481	0.01739	0.94458	0.01465	0.00229	0.07963	0.03605	0.00359	0.92037	0.03605	0.00359	0.07542	0.02346	0.00290	0.92458	0.02346	0.00290	0.08925	0.03349	0.00346	0.01755	0.04036	0.01739
51	0	1.81648	0.14989	0.00741	0.94936	0.01761	0.00254	0.08114	0.05397	0.00445	0.91886	0.05397	0.00445	0.06094	0.02290	0.00290	0.93906	0.02290	0.00290	0.08626	0.04822	0.00420	0.00769	0.02632	0.00741
7	1	3.61591	1.91031	0.02628	0.93917	0.01530	0.00235	0.06955	0.02615	0.00308	0.93045	0.02615	0.00308	0.08368	0.02408	0.00295	0.91632	0.02408	0.00295	0.09724	0.03363	0.00349	0.05525	0.06358	0.02628
56	0	2.30226	0.59366	0.01482	0.94827	0.01533	0.00238	0.07510	0.03858	0.00378	0.92490	0.03858	0.00378	0.06747	0.02251	0.00289	0.93253	0.02251	0.00289	0.08677	0.03948	0.00382	0.01911	0.03217	0.01482
57	1	4.13223	1.07281	0.01945	0.93722	0.01457	0.00227	0.08359	0.03162	0.00334	0.91641	0.03162	0.00334	0.08856	0.02417	0.00292	0.91144	0.02417	0.00292	0.10173	0.03256	0.00339	0.03882	0.05623	0.01945
27	0	2.56331	0.44399	0.01264	0.94445	0.01616	0.00241	0.08519	0.04469	0.00401	0.91481	0.04469	0.00401	0.07262	0.02409	0.00294	0.92738	0.02409	0.00294	0.09169	0.04032	0.00381	0.01033	0.03303	0.01264
49	3	4.21464	1.13644	0.02005	0.94206	0.01428	0.00225	0.08204	0.03349	0.00344	0.91796	0.03349	0.00344	0.08062	0.02306	0.00286	0.91938	0.02306	0.00286	0.09255	0.03104	0.00331	0.02147	0.04392	0.02005
77	3	3.72679	1.70060	0.02464	0.94050	0.01599	0.00239	0.08101	0.03787	0.00368	0.91899	0.03787	0.00368	0.07994	0.02433	0.00295	0.92006	0.02433	0.00295	0.09410	0.03539	0.00355	0.02632	0.05181	0.02464
39	0	4.03108	1.28172	0.02128	0.93695	0.01469	0.00228	0.07738	0.02789	0.00314	0.92262	0.02789	0.00314	0.08877	0.02454	0.00294	0.91123	0.02454	0.00294	0.10209	0.03333	0.00343	0.05076	0.06116	0.02128
1	2	3.66749	1.71439	0.02467	0.94003	0.01589	0.00237	0.07859	0.03581	0.00356	0.92141	0.03581	0.00356	0.08096	0.02480	0.00297	0.91904	0.02480	0.00297	0.09573	0.03604	0.00358	0.03430	0.05442	0.02467
6	0	4.02509	1.26095	0.02111	0.93503	0.01563	0.00235	0.08052	0.03054	0.00329	0.91948	0.03054	0.00329	0.09026	0.02491	0.00297	0.90974	0.02491	0.00297	0.10451	0.03441	0.00349	0.04911	0.06229	0.02111
72	1	3.95416	1.49701	0.02306	0.93884	0.01522	0.00233	0.07971	0.03204	0.00337	0.92029	0.03204	0.00337	0.08440	0.02453	0.00295	0.91560	0.02453	0.00295	0.09748	0.03364	0.00346	0.03666	0.05254	0.02306
23	0	1.00000	0.00000	0.00000	0.95604	0.02005	0.00297	0.08791	0.08022	0.00594	0.91209	0.08022	0.00594	0.04396	0.02005	0.00297	0.95604	0.02005	0.00297	0.08791	0.08022	0.00594	0.00000	0.00000	0.00000
36	2	3.45358	0.66339	0.01533	0.93983	0.01501	0.00231	0.08053	0.03338	0.00344	0.91947	0.03338	0.00344	0.08308	0.02430	0.00293	0.91692	0.02430	0.00293	0.09793	0.03425	0.00348	0.03386	0.05201	0.01533
62	0	3.82895	1.60396	0.02388	0.93655	0.01560	0.00236	0.08128	0.03217	0.00338	0.91872	0.03217	0.00338	0.08768	0.02542	0.00301	0.91232	0.02542	0.00301	0.10136	0.03464	0.00351	0.03916	0.05693	0.02388
45	0	1.00000	0.00000	0.00000	0.95927	0.01871	0.00280	0.08145	0.07485	0.00559	0.91855	0.07485	0.00559	0.04073	0.01871	0.00280	0.95927	0.01871	0.00280	0.08145	0.07485	0.00559	0.00000	0.00000	0.00000
16	0	1.00000	0.00000	0.00000	0.95665	0.01981	0.00338	0.08671	0.07923	0.00677	0.91329	0.07923	0.00677	0.04335	0.01981	0.00338	0.95665	0.01981	0.00338	0.08671	0.07923	0.00677	0.00000	0.00000	0.00000
46	0	3.71266	1.77475	0.02515	0.94126	0.01509	0.00232	0.07705	0.03165	0.00336	0.92295	0.03165	0.00336	0.08041	0.02392	0.00292	0.91959	0.02392	0.00292	0.09328	0.03304	0.00343	0.03167	0.04952	0.02515
61	0	2.61360	0.42115	0.01228	0.94487	0.01650	0.00243	0.08438	0.04602	0.00406	0.91562	0.04602	0.00406	0.07119	0.02361	0.00291	0.92881	0.02361	0.00291	0.09053	0.04033	0.00380	0.01011	0.03432	0.01228
68	1	3.77929	1.74405	0.02496	0.94372	0.01492	0.00231	0.07576	0.03352	0.00346	0.92424	0.03352	0.00346	0.07639	0.02345	0.00289	0.92361	0.02345	0.00289	0.08934	0.03323	0.00345	0.02685	0.04698	0.02496
29	0	2.35447	0.53767	0.01404	0.94340	0.01737	0.00252	0.07460	0.03910	0.00379	0.92540	0.03910	0.00379	0.07207	0.02450	0.00300	0.92793	0.02450	0.00300	0.09217	0.04219	0.00393	0.02906	0.04245	0.01404
14	0	4.02484	1.30787	0.02154	0.93538	0.01565	0.00236	0.07533	0.02697	0.00309	0.92467	0.02697	0.00309	0.08961	0.02507	0.00298	0.91039	0.02507	0.00298	0.10259	0.03329	0.00344	0.05503	0.06449	0.02154
42	0	1.81742	0.14930	0.00739	0.95134	0.01671	0.00247	0.08086	0.05330	0.00442	0.91914	0.05330	0.00442	0.05918	0.02215	0.00285	0.94082	0.02215	0.00285	0.08330	0.04599	0.00410	0.00366	0.02286	0.00739
3	0	2.94380	1.16514	0.02055	0.95114	0.01369	0.00223	0.06949	0.03256	0.00344	0.93051	0.03256	0.00344	0.06557	0.02098	0.00276	0.93443	0.02098	0.00276	0.08050	0.03372	0.00350	0.01818	0.03293	0.02055
31	2	3.96294	1.34644	0.02180	0.93534	0.01501	0.00230	0.07824	0.02725	0.00310	0.92176	0.02725	0.00310	0.09095	0.02456	0.00294	0.90905	0.02456	0.00294	0.10462	0.03326	0.00343	0.05434	0.06289	0.02180
15	0	2.93852	1.18290	0.02068	0.93760	0.01690	0.00247	0.08134	0.03658	0.00364	0.91866	0.03658	0.00364	0.08322	0.02533	0.00303	0.91678	0.02533	0.00303	0.10164	0.04020	0.00381	0.03572	0.05087	0.02068
9	0	1.72114	0.20117	0.00868	0.94743	0.01751	0.00256	0.07627	0.04639	0.00417	0.92373	0.04639	0.00417	0.06461	0.02362	0.00298	0.93539	0.02362	0.00298	0.08977	0.04740	0.00422	0.02024	0.03277	0.00868
11	1	3.14234	1.01596	0.01909	0.94602	0.01453	0.00228	0.07419	0.03352	0.00347	0.92581	0.03352	0.00347	0.07307	0.02274	0.00286	0.92693	0.02274	0.00286	0.08848	0.03505	0.00355	0.02619	0.04057	0.01909
