# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	4.00000	0.00000	0.00000	0.84078	0.02963	0.01287	0.27654	0.09023	0.02245	0.72346	0.09023	0.02245	0.20880	0.03935	0.01483	0.79120	0.03935	0.01483	0.23863	0.05140	0.01695	-0.07449	0.05757	0.00000
79	0	5.00000	0.00000	0.00000	0.81620	0.02406	0.01159	0.27598	0.05667	0.01779	0.72402	0.05667	0.01779	0.25218	0.03130	0.01322	0.74782	0.03130	0.01322	0.28020	0.03864	0.01469	0.01136	0.08679	0.00000
40	0	4.00000	0.00000	0.00000	0.82472	0.02590	0.01203	0.27793	0.06382	0.01888	0.72207	0.06382	0.01888	0.23760	0.03427	0.01384	0.76240	0.03427	0.01384	0.27155	0.04476	0.01581	-0.01574	0.06597	0.00000
47	0	5.00000	0.00000	0.00000	0.81788	0.02238	0.01118	0.30168	0.07028	0.01981	0.69832	0.07028	0.01981	0.25341	0.03426	0.01383	0.74659	0.03426	0.01383	0.28156	0.04229	0.01537	-0.03680	0.08358	0.00000
2	0	5.00000	0.00000	0.00000	0.83464	0.02115	0.01087	0.25922	0.05423	0.01741	0.74078	0.05423	0.01741	0.23397	0.03072	0.01310	0.76603	0.03072	0.01310	0.25996	0.03792	0.01456	0.00032	0.07234	0.00000
12	0	5.00000	0.00000	0.00000	0.83743	0.02393	0.01156	0.29385	0.07384	0.02031	0.70615	0.07384	0.02031	0.22469	0.03457	0.01390	0.77531	0.03457	0.01390	0.24966	0.04267	0.01544	-0.09063	0.04232	0.00000
13	0	3.00000	0.00000	0.00000	0.83613	0.03011	0.01297	0.30540	0.10471	0.02419	0.69460	0.10471	0.02419	0.21415	0.04075	0.01509	0.78585	0.04075	0.01509	0.25698	0.05868	0.01811	-0.08613	0.04644	0.00000
18	0	4.00000	0.00000	0.00000	0.79539	0.02540	0.01191	0.33939	0.07553	0.02054	0.66061	0.07553	0.02054	0.27497	0.03423	0.01383	0.72503	0.03423	0.01383	0.31425	0.04471	0.01580	-0.04977	0.07861	0.00000
30	0	4.00000	0.00000	0.00000	0.82542	0.02500	0.01182	0.30168	0.07632	0.02065	0.69832	0.07632	0.02065	0.23848	0.03477	0.01394	0.76152	0.03477	0.01394	0.27255	0.04541	0.01593	-0.05768	0.05739	0.00000
20	0	1.00000	0.00000	0.00000	0.86313	0.04998	0.01671	0.27374	0.19992	0.03342	0.72626	0.19992	0.03342	0.13687	0.04998	0.01671	0.86313	0.04998	0.01671	0.27374	0.19992	0.03342	0.00000	0.00000	0.00000
28	0	2.00000	0.00000	0.00000	0.82263	0.03402	0.01379	0.31006	0.12102	0.02600	0.68994	0.12102	0.02600	0.22416	0.04454	0.01577	0.77584	0.04454	0.01577	0.29888	0.07917	0.02103	-0.01676	0.07556	0.00000
19	0	4.00000	0.00000	0.00000	0.82682	0.02725	0.01234	0.27654	0.06565	0.01915	0.72346	0.06565	0.01915	0.23219	0.03458	0.01390	0.76781	0.03458	0.01390	0.26536	0.04517	0.01589	-0.02682	0.05722	0.00000
4	0	4.00000	0.00000	0.00000	0.81425	0.03184	0.01334	0.24581	0.06073	0.01842	0.75419	0.06073	0.01842	0.23918	0.03939	0.01484	0.76082	0.03939	0.01484	0.27334	0.05145	0.01695	0.04851	0.09087	0.00000
21	0	5.00000	0.00000	0.00000	0.81732	0.03009	0.01297	0.28492	0.07679	0.02071	0.71508	0.07679	0.02071	0.23877	0.03848	0.01466	0.76123	0.03848	0.01466	0.26530	0.04751	0.01629	-0.03905	0.07884	0.00000
17	0	4.00000	0.00000	0.00000	0.82612	0.02516	0.01186	0.29469	0.08156	0.02135	0.70531	0.08156	0.02135	0.23726	0.03726	0.01443	0.76274	0.03726	0.01443	0.27115	0.04866	0.01649	-0.04381	0.08050	0.00000
51	0	2.00000	0.00000	0.00000	0.84358	0.03579	0.01414	0.29609	0.13656	0.02762	0.70391	0.13656	0.02762	0.19274	0.04586	0.01601	0.80726	0.04586	0.01601	0.25698	0.08153	0.02134	-0.05866	0.05132	0.00000
7	0	5.00000	0.00000	0.00000	0.81006	0.02855	0.01263	0.27486	0.07099	0.01992	0.72514	0.07099	0.01992	0.25095	0.03615	0.01421	0.74905	0.03615	0.01421	0.27883	0.04463	0.01579	0.01424	0.10964	0.00000
56	0	3.00000	0.00000	0.00000	0.83426	0.02637	0.01214	0.27933	0.08758	0.02212	0.72067	0.08758	0.02212	0.22408	0.03582	0.01415	0.77592	0.03582	0.01415	0.26890	0.05158	0.01698	-0.01583	0.08904	0.00000
57	0	5.00000	0.00000	0.00000	0.84860	0.02083	0.01079	0.25810	0.06267	0.01871	0.74190	0.06267	0.01871	0.21553	0.03137	0.01324	0.78447	0.03137	0.01324	0.23948	0.03873	0.01471	-0.03615	0.06730	0.00000
27	0	3.00000	0.00000	0.00000	0.83147	0.02809	0.01253	0.30726	0.09170	0.02263	0.69274	0.09170	0.02263	0.22439	0.03930	0.01482	0.77561	0.03930	0.01482	0.26927	0.05660	0.01778	-0.06952	0.04053	0.00000
49	0	5.00000	0.00000	0.00000	0.82402	0.02431	0.01165	0.28939	0.06657	0.01928	0.71061	0.06657	0.01928	0.24168	0.03347	0.01367	0.75832	0.03347	0.01367	0.26853	0.04132	0.01519	-0.04202	0.06966	0.00000
77	0	5.00000	0.00000	0.00000	0.83184	0.02690	0.01226	0.28045	0.07035	0.01982	0.71955	0.07035	0.01982	0.22626	0.03367	0.01372	0.77374	0.03367	0.01372	0.25140	0.04157	0.01524	-0.05667	0.05630	0.00000
39	0	5.00000	0.00000	0.00000	0.81173	0.01947	0.01043	0.30056	0.05320	0.01724	0.69944	0.05320	0.01724	0.26693	0.02875	0.01267	0.73307	0.02875	0.01267	0.29659	0.03549	0.01408	-0.00742	0.07829	0.00000
1	0	5.00000	0.00000	0.00000	0.81453	0.02900	0.01273	0.29274	0.08101	0.02127	0.70726	0.08101	0.02127	0.24447	0.03828	0.01462	0.75553	0.03828	0.01462	0.27163	0.04726	0.01625	-0.03753	0.09247	0.00000
6	0	5.00000	0.00000	0.00000	0.81061	0.02399	0.01158	0.29609	0.06397	0.01890	0.70391	0.06397	0.01890	0.25933	0.03032	0.01302	0.74067	0.03032	0.01302	0.28814	0.03744	0.01446	-0.01472	0.09354	0.00000
72	0	5.00000	0.00000	0.00000	0.81006	0.02585	0.01202	0.30391	0.07386	0.02031	0.69609	0.07386	0.02031	0.25631	0.03460	0.01390	0.74369	0.03460	0.01390	0.28479	0.04272	0.01545	-0.03389	0.09582	0.00000
23	0	1.00000	0.00000	0.00000	0.84637	0.05351	0.01729	0.30726	0.21405	0.03458	0.69274	0.21405	0.03458	0.15363	0.05351	0.01729	0.84637	0.05351	0.01729	0.30726	0.21405	0.03458	0.00000	0.00000	0.00000
36	0	4.00000	0.00000	0.00000	0.83939	0.02462	0.01173	0.26536	0.06964	0.01972	0.73464	0.06964	0.01972	0.22067	0.03493	0.01397	0.77933	0.03493	0.01397	0.25219	0.04562	0.01596	-0.02332	0.06596	0.00000
62	0	5.00000	0.00000	0.00000	0.83575	0.02310	0.01136	0.26369	0.05637	0.01775	0.73631	0.05637	0.01775	0.22860	0.03249	0.01347	0.77140	0.03249	0.01347	0.25400	0.04011	0.01497	-0.02577	0.05254	0.00000
45	0	1.00000	0.00000	0.00000	0.86592	0.04934	0.01660	0.26816	0.19735	0.03320	0.73184	0.19735	0.03320	0.13408	0.04934	0.01660	0.86592	0.04934	0.01660	0.26816	0.19735	0.03320	0.00000	0.00000	0.00000
16	0	1.00000	0.00000	0.00000	0.84916	0.05296	0.01720	0.30168	0.21185	0.03440	0.69832	0.21185	0.03440	0.15084	0.05296	0.01720	0.84916	0.05296	0.01720	0.30168	0.21185	0.03440	0.00000	0.00000	0.00000
46	0	5.00000	0.00000	0.00000	0.83240	0.02479	0.01177	0.26369	0.06221	0.01864	0.73631	0.06221	0.01864	0.22972	0.03442	0.01387	0.77028	0.03442	0.01387	0.25525	0.04249	0.01541	-0.01603	0.07337	0.00000
61	0	3.00000	0.00000	0.00000	0.83892	0.02650	0.01217	0.28864	0.08413	0.02168	0.71136	0.08413	0.02168	0.21757	0.03669	0.01432	0.78243	0.03669	0.01432	0.26108	0.05283	0.01718	-0.04997	0.04499	0.00000
68	0	5.00000	0.00000	0.00000	0.83128	0.02733	0.01236	0.28603	0.07593	0.02060	0.71397	0.07593	0.02060	0.22615	0.03642	0.01426	0.77385	0.03642	0.01426	0.25127	0.04496	0.01585	-0.07092	0.05032	0.00000
