# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	4.00000	0.00000	0.00000	0.93938	0.01684	0.00581	0.10721	0.05299	0.01030	0.89279	0.05299	0.01030	0.08029	0.02493	0.00707	0.91971	0.02493	0.00707	0.09175	0.03256	0.00808	-0.03008	0.02341	0.00000
79	0	5.00000	0.00000	0.00000	0.92325	0.01524	0.00553	0.12305	0.03696	0.00861	0.87695	0.03696	0.00861	0.11130	0.02480	0.00705	0.88870	0.02480	0.00705	0.12367	0.03061	0.00783	0.00200	0.03048	0.00000
40	0	4.00000	0.00000	0.00000	0.92585	0.01576	0.00562	0.12325	0.04025	0.00898	0.87675	0.04025	0.00898	0.10584	0.02536	0.00713	0.89416	0.02536	0.00713	0.12096	0.03313	0.00815	-0.00578	0.02253	0.00000
47	0	5.00000	0.00000	0.00000	0.93467	0.01432	0.00536	0.10982	0.04173	0.00914	0.89018	0.04173	0.00914	0.09355	0.02527	0.00712	0.90645	0.02527	0.00712	0.10394	0.03120	0.00791	-0.01091	0.02676	0.00000
2	0	5.00000	0.00000	0.00000	0.93727	0.01250	0.00501	0.10140	0.03106	0.00789	0.89860	0.03106	0.00789	0.09263	0.02247	0.00671	0.90737	0.02247	0.00671	0.10292	0.02775	0.00746	0.00192	0.02209	0.00000
12	0	5.00000	0.00000	0.00000	0.93627	0.01368	0.00524	0.11784	0.04488	0.00948	0.88216	0.04488	0.00948	0.09202	0.02375	0.00690	0.90798	0.02375	0.00690	0.10225	0.02932	0.00767	-0.03267	0.01660	0.00000
13	0	3.00000	0.00000	0.00000	0.93387	0.01759	0.00594	0.12558	0.06318	0.01125	0.87442	0.06318	0.01125	0.08840	0.02711	0.00737	0.91160	0.02711	0.00737	0.10608	0.03904	0.00885	-0.03479	0.01841	0.00000
18	0	4.00000	0.00000	0.00000	0.91433	0.01787	0.00598	0.14629	0.05135	0.01014	0.85371	0.05135	0.01014	0.12099	0.02959	0.00770	0.87901	0.02959	0.00770	0.13828	0.03865	0.00880	-0.01662	0.02706	0.00000
30	0	4.00000	0.00000	0.00000	0.93287	0.01563	0.00560	0.11924	0.04926	0.00994	0.88076	0.04926	0.00994	0.09406	0.02559	0.00716	0.90594	0.02559	0.00716	0.10750	0.03342	0.00818	-0.02295	0.02111	0.00000
20	0	1.00000	0.00000	0.00000	0.95391	0.02096	0.00648	0.09218	0.08385	0.01296	0.90782	0.08385	0.01296	0.04609	0.02096	0.00648	0.95391	0.02096	0.00648	0.09218	0.08385	0.01296	0.00000	0.00000	0.00000
28	0	2.00000	0.00000	0.00000	0.92886	0.02053	0.00641	0.12826	0.07187	0.01200	0.87174	0.07187	0.01200	0.09118	0.02982	0.00773	0.90882	0.02982	0.00773	0.12158	0.05302	0.01031	-0.01002	0.02600	0.00000
19	0	4.00000	0.00000	0.00000	0.93362	0.01545	0.00556	0.11273	0.04211	0.00919	0.88727	0.04211	0.00919	0.09312	0.02466	0.00703	0.90688	0.02466	0.00703	0.10643	0.03222	0.00803	-0.01428	0.01906	0.00000
4	0	4.00000	0.00000	0.00000	0.92861	0.01864	0.00611	0.10170	0.03645	0.00855	0.89830	0.03645	0.00855	0.09538	0.02680	0.00733	0.90462	0.02680	0.00733	0.10900	0.03501	0.00838	0.01219	0.02945	0.00000
21	0	5.00000	0.00000	0.00000	0.93146	0.01734	0.00590	0.11383	0.04726	0.00973	0.88617	0.04726	0.00973	0.09307	0.02669	0.00731	0.90693	0.02669	0.00731	0.10341	0.03295	0.00813	-0.02216	0.02503	0.00000
17	0	4.00000	0.00000	0.00000	0.93637	0.01558	0.00559	0.10922	0.04904	0.00991	0.89078	0.04904	0.00991	0.08805	0.02596	0.00721	0.91195	0.02596	0.00721	0.10063	0.03390	0.00824	-0.01587	0.02967	0.00000
51	0	2.00000	0.00000	0.00000	0.93587	0.01922	0.00621	0.11824	0.06933	0.01179	0.88176	0.06933	0.01179	0.08166	0.02764	0.00744	0.91834	0.02764	0.00744	0.10888	0.04914	0.00992	-0.01403	0.02189	0.00000
7	0	5.00000	0.00000	0.00000	0.92565	0.01673	0.00579	0.11583	0.04061	0.00902	0.88417	0.04061	0.00902	0.10425	0.02574	0.00718	0.89575	0.02574	0.00718	0.11583	0.03178	0.00798	0.00135	0.03580	0.00000
56	0	3.00000	0.00000	0.00000	0.93153	0.01611	0.00568	0.12091	0.05340	0.01034	0.87909	0.05340	0.01034	0.09541	0.02636	0.00727	0.90459	0.02636	0.00727	0.11450	0.03796	0.00872	-0.01074	0.02938	0.00000
