# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	3.11983	1.03783	0.02315	0.88105	0.02714	0.00374	0.15328	0.06228	0.00567	0.84672	0.06228	0.00567	0.15536	0.03818	0.00444	0.84464	0.03818	0.00444	0.18756	0.05848	0.00550	0.06030	0.09856	0.02315
79	0	3.85534	1.31408	0.02578	0.86156	0.02509	0.00356	0.16002	0.05058	0.00506	0.83998	0.05058	0.00506	0.18840	0.03687	0.00432	0.81160	0.03687	0.00432	0.21898	0.05165	0.00511	0.11720	0.13339	0.02578
40	0	3.03622	0.94764	0.02199	0.86424	0.02810	0.00379	0.16803	0.06329	0.00568	0.83197	0.06329	0.00568	0.17848	0.04009	0.00452	0.82152	0.04009	0.00452	0.21707	0.06250	0.00565	0.08803	0.11672	0.02199
47	0	3.87239	1.47048	0.02734	0.86135	0.02772	0.00375	0.16591	0.05878	0.00547	0.83409	0.05878	0.00547	0.18345	0.03934	0.00447	0.81655	0.03934	0.00447	0.21431	0.05627	0.00535	0.09467	0.12319	0.02734
2	0	4.06430	1.05817	0.02315	0.85591	0.02460	0.00353	0.16124	0.04836	0.00495	0.83876	0.04836	0.00495	0.19748	0.03696	0.00433	0.80252	0.03696	0.00433	0.22661	0.04968	0.00502	0.13401	0.14287	0.02315
12	0	4.04820	1.27229	0.02541	0.86774	0.02574	0.00361	0.16804	0.05923	0.00548	0.83196	0.05923	0.00548	0.17809	0.03734	0.00435	0.82191	0.03734	0.00435	0.20625	0.05178	0.00513	0.07589	0.12204	0.02541
13	0	2.37150	0.57363	0.01740	0.88465	0.02908	0.00392	0.15875	0.07588	0.00633	0.84125	0.07588	0.00633	0.14596	0.03969	0.00458	0.85404	0.03969	0.00458	0.18651	0.06853	0.00601	0.04527	0.08794	0.01740
18	0	3.19115	0.81288	0.02033	0.85892	0.02730	0.00373	0.18005	0.06566	0.00578	0.81995	0.06566	0.00578	0.18777	0.03982	0.00450	0.81223	0.03982	0.00450	0.22494	0.05950	0.00550	0.08272	0.12177	0.02033
30	0	3.12096	0.99151	0.02254	0.86977	0.02752	0.00376	0.16675	0.06588	0.00581	0.83325	0.06588	0.00581	0.17154	0.03939	0.00449	0.82846	0.03939	0.00449	0.20692	0.06028	0.00556	0.07289	0.11355	0.02254
20	0	1.00000	0.00000	0.00000	0.91718	0.03457	0.00486	0.16564	0.13830	0.00973	0.83436	0.13830	0.00973	0.08282	0.03457	0.00486	0.91718	0.03457	0.00486	0.16564	0.13830	0.00973	0.00000	0.00000	0.00000
28	0	1.64930	0.22783	0.01106	0.88507	0.03353	0.00424	0.17508	0.10152	0.00738	0.82492	0.10152	0.00738	0.13641	0.04156	0.00472	0.86359	0.04156	0.00472	0.19907	0.09600	0.00718	0.03598	0.06292	0.01106
