# Phi_st Means
	67	79	40	47	2	12	13	18	30	20	28	19	4	21	17	51	7	56	57	27	49	77	39	1	6	72	23	36	62	45	16	46	61	68	29	14	42	3	31	15	9	11	64	69	35	8	5	74	41	MWI067	MWI075	MWI007	MWI016	MWI025	MWI033	MWI041	MWI049	MWI058	MWI068	MWI076	26	MWI008	MWI017	MWI026	MWI034	MWI042	MWI050	MWI059	MWI069	MWI077	MWI009	MWI018	MWI027	MWI035	MWI043	MWI051	MWI060	MWI070	MWI078	MWI010	MWI019	MWI028	MWI036	MWI044	MWI052	MWI061	MWI071	MWI079	MWI001	MWI011	MWI020	MWI029	MWI045	MWI053	MWI062	MWI072	MWI080	MWI003	MWI014	MWI022	MWI030	MWI038	MWI046	MWI054	MWI063	MWI073	UTSC	MWI004	MWI015	MWI023	MWI031	MWI039	MWI047	MWI055	MWI066	MWI074	MWI005	MWI024	MWI032	MWI040	MWI048	MWI056
67		0.0631184	0.074098	0.10127	0.0618688	0.0969921	0.1131	0.0857257	0.103672	0.0235361	0.103501	0.0932378	0.0856004	0.112203	0.111837	0.106642	0.0799019	0.0877448	0.0772768	0.117014	0.103357	0.112828	0.08399	0.11077	0.0699967	0.0920878	0.071121	0.104817	0.0890567	0.0239888	0.0675172	0.0972371	0.113282	0.107461	0.111881	0.0693751	0.119514	0.109659	0.0610103	0.0919473	0.0783264	0.107666	0.0932748	0.0982332	0.0880668	0.0912862	0.0705076	0.11408	0.090774	0.0801991	0.0646488	0.0685137	0.0888602	0.082509	0.039099	0.0660982	0.0553574	0.0811462	0.04361	0.0678789	0.0200909	0.0525923	0.0418589	0.052844	0.0544228	0.0468494	0.0726846	0.0636629	0.0644999	0.0654043	0.0430856	0.0550506	0.0496944	0.0273652	0.0478568	0.0338477	0.0495309	0.0250576	0.0683236	0.0900543	0.0615245	0.0860939	0.0469506	0.0597364	0.0493022	0.0661536	0.0602196	0.0594342	0.0224331	0.0473304	0.0288933	0.0423776	-0.00306166	0.0214977	0.048506	0.0654911	-0.0874437	0.062547	0.0473306	0.0726101	0.0577639	0.0850478	0.0864822	0.0417541	0.0705506	0.0811976	0.0665804	0.0160777	0.0303849	0.0746885	0.0380461	0.0461393	0.0454374	0.0291977	0.0139521	0.082068	0.0597573	0.0663942	0.0602464	0.0277216	0.0604336	0.0341192
79			0.0300756	0.05122	0.0292608	0.0617257	0.0597757	0.0271836	0.0522432	-0.0774849	0.0285773	0.053122	0.0354061	0.0505346	0.0629211	0.02784	0.0425061	0.0526032	0.0369521	0.062719	0.0575266	0.0595541	0.0241651	0.0577721	0.0345496	0.0477663	-0.0483221	0.0527829	0.0484527	-0.0811529	-0.0715695	0.0543971	0.0545315	0.0615423	0.0444313	0.034754	0.0468298	0.0536295	0.0339366	0.029924	0.00853332	0.0514256	0.038469	0.0228798	0.0383417	0.0488274	0.0347396	0.0212781	-0.00486953	-0.0541431	-0.068667	-0.0506029	-0.029471	-0.0460768	-0.0681489	-0.0533446	-0.059506	-0.0354676	-0.0554467	-0.0327274	-0.0667714	-0.0561225	-0.0578073	-0.0789592	-0.078758	-0.0658576	-0.050724	-0.0630615	-0.0599998	-0.0602498	-0.0810368	-0.0466778	-0.0795129	-0.0528015	-0.0544693	-0.0654506	-0.0679351	-0.0752379	-0.0606479	-0.0152454	-0.0599449	-0.0531479	-0.0706405	-0.0617898	-0.0715171	-0.0459447	-0.0503991	-0.0509125	-0.0839763	-0.0566663	-0.106225	-0.0715493	-0.078336	-0.0856551	-0.0584373	-0.037523	-0.0436893	-0.0643215	-0.0533864	-0.0569191	-0.0501712	-0.0594377	-0.0291709	-0.0830128	-0.0559603	-0.0373831	-0.0591101	-0.0855762	-0.0531487	-0.061013	-0.0608513	-0.0646066	-0.0443301	-0.059448	-0.0748977	-0.0508887	-0.0551607	-0.0502536	-0.0479193	-0.060481	-0.0543438	-0.0808678
40				0.0513152	0.0330873	0.0585533	0.0602452	0.0360031	0.0585257	-0.0441886	0.0434763	0.0638064	0.0440723	0.0683192	0.0715705	0.0405865	0.0440706	0.0489855	0.0263698	0.0650217	0.0572293	0.0758415	0.0362011	0.0751673	0.0279998	0.056212	-0.028037	0.0490111	0.0517923	-0.0564696	-0.0755012	0.0522912	0.0583255	0.0616718	0.0499838	0.035099	0.061881	0.0673571	0.025919	0.038774	0.0312709	0.0501747	0.0447582	0.0439123	0.0420552	0.0545652	0.0356589	0.0501915	0.00787889	-0.018725	-0.0421636	-0.0204069	-0.000679745	-0.0209726	-0.0591868	-0.0625158	-0.0594655	-0.0345518	-0.0158237	-0.00747864	-0.0273955	-0.0437829	-0.0245972	-0.0571306	-0.0397924	-0.0573901	-0.0490678	-0.0405345	-0.0452485	-0.0312295	-0.0763319	-0.0295906	-0.0672794	-0.0743261	-0.0484088	-0.0698554	-0.0514558	-0.0563342	-0.0246565	0.00962969	-0.0175589	-0.0215294	-0.0367786	-0.0247214	-0.044629	-0.0374773	-0.0359275	-0.0439473	-0.0310658	-0.0243918	-0.0614896	-0.0604484	-0.0753338	-0.0798814	-0.02659	-0.00497958	-0.0281881	-0.0402526	-0.0428234	-0.041737	-0.0315056	-0.0143107	-0.0223936	-0.07501	-0.0395861	-0.0310464	-0.03091	-0.059948	-0.0384559	-0.0304049	-0.0274969	-0.0266239	-0.0201037	-0.0650806	-0.0580244	-0.0250303	-0.0356129	-0.0271276	-0.0220234	-0.0570977	-0.0393944	-0.0747219
47					0.0501111	0.0781797	0.0842967	0.0667427	0.0784906	-0.0321083	0.0672359	0.0869697	0.0566491	0.0804981	0.0819306	0.0655268	0.0639109	0.0728004	0.0580625	0.095401	0.0752025	0.0782878	0.0543908	0.0919182	0.0588238	0.0741121	0.00699542	0.0649021	0.084043	-0.0242844	-0.0171175	0.0705354	0.0783352	0.0745106	0.0668028	0.0546603	0.0861577	0.0801515	0.0470014	0.0592984	0.0576554	0.0795229	0.0604398	0.0707699	0.0673845	0.0784028	0.0536473	0.0619598	0.0444925	0.0275429	0.00353151	0.00922368	0.0385502	0.0185072	-0.00645842	-0.0014898	0.00274916	0.0266998	-0.00409241	0.0117746	-0.0127028	-0.0057009	0.0183431	-0.0265208	-0.0082955	0.013255	0.0226425	-7.66811e-05	0.0269635	0.0268915	-0.019927	0.0290314	-0.018099	0.0153721	-0.0203169	-0.00575889	-0.00536195	-0.00355599	0.0239272	0.028498	0.0130167	0.0361345	-0.00722103	0.00813191	-2.53403e-05	0.00989409	0.0108024	0.0143465	0.0018122	-0.00314832	-0.030982	0.0100327	-0.0183088	-0.00510495	0.0052338	0.0312338	0.0275108	-0.00169552	-0.00671402	0.00863684	0.0147222	0.0201103	0.036091	-0.0278185	0.000895872	0.00659459	-0.000501006	-0.0196097	-0.000400419	0.00956423	-0.00621806	0.00771216	0.0195021	-0.0123385	-0.0281061	-0.00153418	-0.0113374	0.0123342	0.0204502	-0.015189	0.0169125	-0.0351974
2						0.0565527	0.0482894	0.0355784	0.0544226	-0.076302	0.0308038	0.0531332	0.0371704	0.0518722	0.0539244	0.0329707	0.0323906	0.0385432	0.0329559	0.034044	0.0485842	0.0664728	0.0309324	0.0639205	0.0306298	0.0471174	-0.0442611	0.0514071	0.0457309	-0.0744319	-0.0705187	0.0456634	0.0496257	0.06423	0.0467432	0.0351163	0.0425841	0.0484317	0.0324119	0.0347317	0.00985256	0.045102	0.0399552	0.0308893	0.0416767	0.0367269	0.0338231	0.0315702	0.0134585	-0.0583984	-0.0578158	-0.0407749	-0.0274298	-0.0504925	-0.0779344	-0.0643054	-0.0520122	-0.0541457	-0.0458612	-0.0403923	-0.0668347	-0.0647486	-0.0537219	-0.0681489	-0.0598171	-0.0592488	-0.0673901	-0.0605731	-0.0627156	-0.0360086	-0.074978	-0.0438735	-0.0750095	-0.0818514	-0.0520878	-0.0742529	-0.0547963	-0.0751081	-0.0605501	-0.0204317	-0.0540015	-0.0390328	-0.0477122	-0.0497824	-0.0702471	-0.0597056	-0.0599746	-0.0579171	-0.0680934	-0.0425755	-0.0840668	-0.0725761	-0.0775628	-0.0714616	-0.0578384	-0.0316048	-0.0475959	-0.0685343	-0.0585662	-0.0535729	-0.0446848	-0.0559665	-0.0477447	-0.0847859	-0.067258	-0.0503567	-0.0605732	-0.0643317	-0.0581015	-0.0529111	-0.0667668	-0.0506179	-0.0388578	-0.0631687	-0.0887573	-0.0648156	-0.0641574	-0.0421707	-0.0461412	-0.0605553	-0.06053	-0.0721296
12							0.0635834	0.0665468	0.0773662	-0.0212232	0.0665588	0.0864433	0.0637267	0.0834877	0.0776612	0.0620042	0.0607034	0.0767593	0.055501	0.0915964	0.0814579	0.0930924	0.0531618	0.0916375	0.0562617	0.0664136	0.0221404	0.0785934	0.0757793	-0.042797	-0.0144524	0.0782797	0.0820329	0.0852519	0.079582	0.0546548	0.0727594	0.0779786	0.0524615	0.0647632	0.0385806	0.0690043	0.0614808	0.0571643	0.0678218	0.0776667	0.0612243	0.0724163	0.0464302	0.00665156	-0.0216217	0.00224391	0.0581181	0.0206684	-0.00220497	0.00263866	0.0250618	0.0120593	-0.0103803	0.00417807	-0.00406407	-0.00969021	-5.67433e-05	-0.0442856	0.00478324	0.0209057	0.0315552	0.00486856	-0.0120133	0.0135226	0.00321662	0.00224899	-0.0338146	0.0015546	0.0147166	-0.00954147	-0.00979734	-0.0356203	0.0102926	0.0226564	0.0109582	0.0459233	-0.00415897	-0.00597354	-0.0235133	0.00971587	0.00656907	0.0026473	-0.00140661	0.0156868	0.00792983	-0.0240099	-0.0132945	-0.00107453	-0.00369302	0.00950146	0.024357	-0.0146572	-0.00125561	0.00328754	0.00512362	0.0451274	0.0259553	0.0237591	-0.0210252	-0.00199435	0.00696174	-0.00901892	-0.00867531	0.00699946	0.0188501	-0.00841085	0.0142435	0.0282216	-0.0124317	0.0390571	0.00665929	0.0107542	0.0275119	-0.0201023	-0.0236937	-0.0141907
13								0.0689189	0.088326	0.0458099	0.0821782	0.0993052	0.057977	0.105354	0.0991147	0.086665	0.0734556	0.0850305	0.0527986	0.111976	0.086532	0.113477	0.0523052	0.104413	0.0618514	0.0786285	0.0472421	0.072118	0.0900508	0.0244555	0.0321842	0.0860725	0.09937	0.0944359	0.0906651	0.0688121	0.116463	0.102119	0.0534067	0.0768597	0.0753988	0.0940842	0.078982	0.101517	0.0789276	0.0758722	0.0597462	0.0951393	0.0645833	0.0574454	0.0402582	0.0555075	0.0532705	0.0524742	0.0632279	0.0220084	0.0261081	0.0374883	0.0363792	0.0390811	0.0539375	0.0295145	0.0397037	0.0230487	0.0404843	0.0388131	0.044432	0.0526569	0.0584029	0.069726	0.0215055	0.0644735	0.0055844	0.0172655	0.0709618	0.038211	0.0282001	0.0203959	0.0479117	0.0856366	0.057782	0.0667397	0.0487463	0.0580793	0.0485988	0.0355403	0.0591582	0.0460756	0.0394468	0.0747408	0.026514	0.0418621	0.0143372	-0.0318212	0.0531974	0.0850838	0.0836834	0.0257741	0.0400174	0.0565485	0.0584803	0.0706195	0.0517869	0.0112799	0.0451777	0.0425106	0.043672	0.020275	0.0269689	0.0652557	0.0468617	0.0434803	0.0675965	0.0422359	0.0279932	0.0475726	0.0513985	0.0475044	0.0483826	0.0169113	0.0253242	0.0316048
18									0.0606857	-0.0339769	0.0452758	0.0552357	0.0452426	0.055449	0.0694092	0.0377143	0.0441098	0.0522914	0.0443307	0.0711395	0.0651361	0.0801699	0.0377335	0.0762528	0.0349151	0.0512052	-0.0214201	0.0520135	0.0641195	-0.0620423	-0.0657844	0.0675487	0.0671821	0.062918	0.0647885	0.0357059	0.0664642	0.0679692	0.0247607	0.0507696	0.0313883	0.053631	0.0480911	0.063321	0.0451099	0.054401	0.0412094	0.0524031	0.0215219	-0.0261185	-0.0355358	-0.0140403	-0.00231929	-0.00831166	-0.0421751	-0.0300264	-0.0621004	-0.0143484	-0.0327268	-0.00148973	-0.0254852	-0.0448273	-0.0208394	-0.0463718	-0.0467835	-0.03977	-0.0226239	-0.0501593	-0.0315045	-0.0244806	-0.0630333	-0.0313453	-0.0680353	-0.0432529	-0.0286826	-0.0434151	-0.0368501	-0.0323179	-0.0368574	0.0127071	-0.023464	-0.0122622	-0.0342381	-0.0131217	-0.0431338	-0.045635	-0.0381498	-0.0334472	-0.0435124	-0.02704	-0.0647182	-0.0564244	-0.0812354	-0.0745804	-0.0212298	-0.00685056	-0.0220253	-0.0221697	-0.0550979	-0.04037	-0.0349414	0.00616456	-0.0184933	-0.0908927	-0.0255071	-0.0121183	-0.0409789	-0.0716078	-0.0356637	-0.0177684	-0.0323821	-0.0401139	-0.0198837	-0.0635904	-0.0725813	-0.0243794	-0.0423806	-0.018607	-0.0292392	-0.0517076	-0.03476	-0.0583918
30										0.00722704	0.0827326	0.0929248	0.0613815	0.0933466	0.0919812	0.0695185	0.061289	0.091732	0.0628568	0.106024	0.0807598	0.0986237	0.0580649	0.0946585	0.0530266	0.0711965	0.040352	0.0882194	0.0776258	-0.00502948	0.0036689	0.0825475	0.0938605	0.0909181	0.097709	0.0550161	0.11412	0.102035	0.04249	0.0701293	0.065375	0.076771	0.0698954	0.0760712	0.06007	0.0819015	0.0537498	0.0673739	0.0498432	0.0544192	0.0148505	0.0350685	0.049555	0.0405269	0.0107115	0.00421919	0.0212395	0.0386188	0.0302052	0.0378587	0.0308022	0.00159374	0.0219948	-0.00463673	0.0346701	0.0162539	0.0219747	0.0112255	0.0109468	0.0277345	0.00174988	0.0302006	0.00571855	0.0209387	0.0349241	0.0187335	0.0270421	0.0169134	0.0332292	0.0647675	0.0234681	0.0606284	0.0173466	0.0292262	0.0113753	0.00897761	0.0168018	0.0299431	0.0313724	0.0346263	0.00499774	0.0130439	0.0114262	0.0294614	0.00702737	0.0520351	0.0463458	0.0162661	0.023108	0.0320553	0.014796	0.0336277	0.0421731	0.0158839	0.00405028	0.015471	0.0264419	0.00306204	0.0266786	0.0349472	0.0120668	0.0236988	0.0505459	0.0231613	0.0103502	0.0442304	0.00260558	0.0128115	0.0440573	0.00902179	0.0258762	0.00324426
20											-0.00391421	0.0111959	-0.0378195	0.020131	0.000755114	0.0785404	-0.0460729	0.0141532	-0.051668	0.0276975	-0.0230805	0.00527779	-0.0821826	0.0112717	-0.0661379	-0.0553141	0.0538244	-0.0103895	-0.0402996	0.0648968	0.0244755	-0.0223105	0.0521296	0.0218169	0.0144503	-0.0669099	0.081599	0.0266453	-0.0785317	-0.0526875	-0.011823	0.00404684	0.00134714	0.0554351	-0.0225172	-0.00621948	-0.0691932	0.0230613	0.0214344	0.102857	0.0674157	0.097035	0.131234	0.101493	0.103064	0.0980926	0.0673077	0.0979381	0.0773639	0.0911528	0.0433526	0.0929577	0.0458453	0.0764873	0.118421	0.0580645	0.0807453	0.141994	0.0513514	0.0911765	0.0620915	0.0403023	-0.0452128	0.0487013	0.110738	0.0984615	0.0929577	0.0424929	0.0699482	0.120321	0.0916905	0.101227	0.0655738	0.0891365	0.0936556	-0.0389294	0.09375	0.0684932	0.121019	0.0825959	0.0666667	0.0888889	-0.0566572	-0.0371747	0.0331492	0.0948718	0.14527	0.075	0.0659341	0.111782	0.035503	0.0883978	0.0415584	0.0220588	0.0928962	0.0906593	0.0746269	0.0212014	0.0538922	0.0989305	0.0993789	0.091922	0.0639535	0.100977	0.0143885	0.0636943	0.0718391	0.0604396	0.0872093	0.048433	0.0558659	0.101974
