# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
67	0	3.22202	0.99352	0.01891	0.94220	0.01638	0.00243	0.07878	0.03800	0.00370	0.92122	0.03800	0.00370	0.07617	0.02419	0.00295	0.92383	0.02419	0.00295	0.09272	0.03783	0.00369	0.02431	0.04479	0.01891
79	1	4.03362	1.23604	0.02091	0.93658	0.01440	0.00226	0.08384	0.03068	0.00329	0.91616	0.03068	0.00329	0.09002	0.02396	0.00291	0.90998	0.02396	0.00291	0.10400	0.03298	0.00342	0.04208	0.05662	0.02091
40	1	3.18768	0.90349	0.01794	0.93566	0.01651	0.00242	0.08939	0.03791	0.00367	0.91061	0.03791	0.00367	0.08740	0.02564	0.00302	0.91260	0.02564	0.00302	0.10537	0.03897	0.00373	0.02903	0.04614	0.01794
47	0	4.02844	1.36263	0.02201	0.93935	0.01563	0.00236	0.07632	0.03096	0.00332	0.92368	0.03096	0.00332	0.08269	0.02453	0.00295	0.91731	0.02453	0.00295	0.09540	0.03356	0.00345	0.03862	0.05285	0.02201
2	2	4.20757	0.97954	0.01861	0.93434	0.01443	0.00226	0.08247	0.02816	0.00316	0.91753	0.02816	0.00316	0.09385	0.02468	0.00295	0.90615	0.02468	0.00295	0.10691	0.03239	0.00338	0.05134	0.06255	0.01861
12	0	4.19830	1.20827	0.02068	0.93835	0.01517	0.00232	0.08571	0.03449	0.00349	0.91429	0.03449	0.00349	0.08537	0.02432	0.00293	0.91463	0.02432	0.00293	0.09836	0.03308	0.00342	0.02525	0.04827	0.02068
13	1	2.44172	0.52832	0.01392	0.94230	0.01728	0.00252	0.08694	0.04707	0.00415	0.91306	0.04707	0.00415	0.07419	0.02493	0.00302	0.92581	0.02493	0.00302	0.09503	0.04310	0.00397	0.01266	0.03587	0.01392
18	0	3.32515	0.78392	0.01670	0.93798	0.01518	0.00232	0.08917	0.03686	0.00362	0.91083	0.03686	0.00362	0.08599	0.02491	0.00298	0.91401	0.02491	0.00298	0.10171	0.03564	0.00356	0.02292	0.04387	0.01670
30	1	3.24258	0.94257	0.01836	0.93979	0.01617	0.00241	0.08065	0.03712	0.00364	0.91935	0.03712	0.00364	0.08084	0.02491	0.00299	0.91916	0.02491	0.00299	0.09682	0.03722	0.00365	0.03010	0.05043	0.01836
20	0	1.00000	0.00000	0.00000	0.96072	0.01811	0.00289	0.07856	0.07242	0.00578	0.92144	0.07242	0.00578	0.03928	0.01811	0.00289	0.96072	0.01811	0.00289	0.07856	0.07242	0.00578	0.00000	0.00000	0.00000
28	0	1.68877	0.21445	0.00889	0.94162	0.01985	0.00270	0.09134	0.05927	0.00467	0.90866	0.05927	0.00467	0.07026	0.02575	0.00308	0.92974	0.02575	0.00308	0.10117	0.05680	0.00457	0.01473	0.03055	0.00889
19	0	3.36064	0.85128	0.01745	0.94362	0.01537	0.00235	0.08038	0.03819	0.00370	0.91962	0.03819	0.00370	0.07567	0.02338	0.00289	0.92433	0.02338	0.00289	0.09113	0.03574	0.00358	0.02023	0.04185	0.01745
4	0	3.40205	0.69761	0.01572	0.93833	0.01623	0.00240	0.07917	0.03311	0.00342	0.92083	0.03311	0.00342	0.08328	0.02505	0.00298	0.91672	0.02505	0.00298	0.09872	0.03623	0.00358	0.03648	0.05097	0.01572
21	1	3.42142	2.35186	0.03032	0.94478	0.01521	0.00244	0.07283	0.03294	0.00359	0.92717	0.03294	0.00359	0.07393	0.02326	0.00302	0.92607	0.02326	0.00302	0.08577	0.03213	0.00354	0.02427	0.04742	0.03032
17	0	3.28684	0.84094	0.01736	0.94454	0.01466	0.00229	0.07966	0.03609	0.00360	0.92034	0.03609	0.00360	0.07545	0.02348	0.00290	0.92455	0.02348	0.00290	0.08929	0.03352	0.00347	0.01757	0.04042	0.01736
51	0	1.81621	0.15006	0.00742	0.94919	0.01765	0.00254	0.08144	0.05410	0.00445	0.91856	0.05410	0.00445	0.06117	0.02297	0.00290	0.93883	0.02297	0.00290	0.08657	0.04834	0.00421	0.00770	0.02636	0.00742
7	0	3.61934	1.90468	0.02627	0.93880	0.01536	0.00236	0.06999	0.02630	0.00309	0.93001	0.02630	0.00309	0.08421	0.02419	0.00296	0.91579	0.02419	0.00296	0.09790	0.03383	0.00350	0.05569	0.06399	0.02627
56	0	2.30248	0.59329	0.01482	0.94829	0.01531	0.00238	0.07528	0.03863	0.00378	0.92472	0.03863	0.00378	0.06745	0.02249	0.00289	0.93255	0.02249	0.00289	0.08676	0.03945	0.00382	0.01876	0.03184	0.01482
57	1	4.13277	1.07315	0.01947	0.93694	0.01462	0.00227	0.08392	0.03168	0.00334	0.91608	0.03168	0.00334	0.08894	0.02425	0.00293	0.91106	0.02425	0.00293	0.10218	0.03267	0.00340	0.03907	0.05639	0.01947
